极果产品技术研发部<!sp>设计负责人 / 设计总监<!sp>20k-30k<!sp>北京<!sp>经验不限<!sp>'总监,资深,UI,UED,产品设计'<!sp>2018-01-20<!sp>拉勾网<!sp>'待遇好,发展空间好,团队稳定'<!sp>'设计能力'<!sp>北京 - 海淀区 - 万柳 - 学清嘉创大厦A座13层
Mobvista广州汇量信息科技有限公司<!sp>设计总监<!sp>15k-25k<!sp>广州<!sp>经验3-5年<!sp>'总监,交互,视觉,广告'<!sp>2017-12-29<!sp>拉勾网<!sp>'绩效奖金,行业领先,发展空间大,专业团队'<!sp>'创新能力,领导能力,设计能力,团队协作能力,钻研能力,学习能力,逻辑思维能力,美术功底,常用办公软件的使用,沟通表达能力'<!sp>广州 - 天河区 - 员村四横路128号红专厂C8栋2楼
米拍设计部<!sp>设计总监<!sp>10k-15k<!sp>成都<!sp>经验3-5年<!sp>'总监,UE,UI,UED,app,交互'<!sp>1天前<!sp>拉勾网<!sp>'有挑战,免费学摄影'<!sp>'美术功底,设计能力,领悟能力,专业素质良好,抗压能力,责任心,工作激情,团队协作能力'<!sp>成都 - 高新区 - 天府软件园D区6栋702室
鲁班精工设计部<!sp>设计总监<!sp>10K-20K<!sp>杭州<!sp>经验3-5年<!sp>'装饰装修'<!sp>2天前<!sp>拉勾网<!sp>'高分红,合伙人制度'<!sp>'设计能力,执行能力,创新能力,沟通表达能力,专业素质良好,团队协作能力'<!sp>杭州 - 萧山区 - 市心北路 - 加贸路27号三楼鲁班精工装饰
西安云网品牌创意部<!sp>设计总监/指导<!sp>10k-12k<!sp>西安<!sp>经验5-10年<!sp>'广告营销,总监,平面设计'<!sp>3天前<!sp>拉勾网<!sp>'人性化环境,公平晋升,持续性学习'<!sp>'逻辑思维能力,美术功底,常用办公软件的使用,设计能力,沟通表达能力,学习能力,领导能力,团队协作能力,专业素质良好'<!sp>西安 - 高新技术产业开发区 - 唐延路 - 高新路86号领先时代广场B坐1单元18楼
予味设计部<!sp>设计总监<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'资深,高级,视觉,平面,品牌,广告'<!sp>2017-12-27<!sp>拉勾网<!sp>'年轻团队,发挥空间,老板有才,期权'<!sp>'钻研能力,团队协作能力,设计能力,创新能力,领导能力,执行能力,逻辑思维能力,美术功底,沟通表达能力,关注行业'<!sp>上海 - 松江区 - 中国留学生博物馆（茸梅路1177弄）
象宿网络设计中心<!sp>民宿设计总监<!sp>8k-16k<!sp>厦门<!sp>经验5-10年<!sp>'工业设计,展览,项目管理'<!sp>2天前<!sp>拉勾网<!sp>'高级管理,薪酬高'<!sp>'美术功底,设计能力,美术创作能力,常用办公软件的使用,专业素质良好,钻研能力,创新能力,领导能力,团队协作能力,形象气质佳,思想品质,领悟能力,执行能力,逻辑思维能力'<!sp>厦门 - 思明区 - 火车站 - 厦禾路源昌商业中心城立方主楼811
便利蜂商品设计部<!sp>副设计总监<!sp>17k-34k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,总监,画册,品牌,创意'<!sp>3天前<!sp>拉勾网<!sp>'6险一金,弹性工作制,14薪,晋升空间大'<!sp>'创新能力,领导能力,设计能力,执行能力,团队协作能力,美术功底,专业素质良好,服务意识,领悟能力,审美能力,美术创作能力,常用办公软件的使用,责任心,沟通表达能力,性格好'<!sp>北京 - 朝阳区 - 太阳宫 - 太阳宫中路12号冠城大厦10层
深圳妈妈资本设计部<!sp>设计总监<!sp>15k-30k<!sp>深圳<!sp>经验5-10年<!sp>'总监,金融,产品经理,产品设计'<!sp>2天前<!sp>拉勾网<!sp>'扁平化管理,设计大咖,产品多多'<!sp>'设计能力,团队协作能力,执行能力,领导能力,创新能力,专业素质良好,沟通表达能力,美术功底,形象气质佳,领悟能力,逻辑思维能力,责任心'<!sp>深圳 - 南山区 - 南油 - 滨海大道3012号三诺大厦15楼
WiseStar创作部<!sp>设计总监<!sp>8k-15k<!sp>西安<!sp>经验1-3年<!sp>''<!sp>2天前<!sp>拉勾网<!sp>'扁平管理'<!sp>'创新能力,领导能力,服务意识,团队协作能力'<!sp>西安市 - 高新技术产业开发区 - 高新路 - 高新路25号瑞信大厦305
乐步教育设计部<!sp>设计总监<!sp>25k-35k<!sp>北京<!sp>经验5-10年<!sp>'总监,资深,UI,UE,设计,UED'<!sp>1天前<!sp>拉勾网<!sp>'期权,高薪资,团队氛围好,年轻化'<!sp>'美术功底,领导能力,设计能力,团队协作能力,专业素质良好,领悟能力,创新能力,抗压能力,责任心,执行能力,美术创作能力'<!sp>北京市 - 海淀区 - 中关村 - 北京市海淀区中关村大街18号中关村互联网教育创新中心9层942室
世纪优优海外事业部<!sp>设计总监<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'媒体,游戏,广告营销,总监,UI,设计'<!sp>17:05<!sp>拉勾网<!sp>'核心职位,人性化管理,股权激励'<!sp>'设计能力,团队协作能力,美术功底,常用办公软件的使用,执行能力'<!sp>北京 - 朝阳区 - 四惠 - 广渠路世东国际A座10层1005室
颖卡网络营销设计部<!sp>资深美指／设计总监<!sp>10k-15k<!sp>广州<!sp>经验5-10年<!sp>'总监'<!sp>10:14<!sp>拉勾网<!sp>'五险一金,发展空间大,节日福利,带薪年假'<!sp>'领悟能力,创新能力,设计能力,美术功底,主动性,团队协作能力,常用办公软件的使用,领导能力,思想品质'<!sp>广州 - 越秀区 - 五羊新城 - 五羊新城寺右新马路丰伟大厦11楼（观光梯）
蜂睿信息产品部<!sp>设计总监<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'总监,资深,高级,UI,UED,交互'<!sp>17:51<!sp>拉勾网<!sp>'发展空间大'<!sp>'美术功底,设计能力,逻辑思维能力,审美能力,领导能力,学习能力,主动性,沟通表达能力,执行能力,团队协作能力'<!sp>北京 - 朝阳区 - 三里屯 - 朝阳区工人体育场东路中国红街1号楼602
美太广告设计部<!sp>设计总监<!sp>10k以上<!sp>苏州<!sp>经验5-10年<!sp>''<!sp>2天前<!sp>拉勾网<!sp>'设计总监（月薪1万起）'<!sp>'创新能力,美术功底,设计能力,形象气质佳,执行能力,文案能力'<!sp>苏州 - 工业园区 - 博览中心 - 乐嘉大厦1815室
疯米科技设计部<!sp>设计总监<!sp>7k-12k<!sp>西安<!sp>经验3-5年<!sp>'广告营销,总监,画册,设计,视觉'<!sp>2天前<!sp>拉勾网<!sp>'管理,年轻人,好沟通'<!sp>'美术功底,设计能力,审美能力,创新能力,执行能力,团队协作能力,领导能力,英语基础,常用办公软件的使用'<!sp>西安 - 雁塔区 - 唐延路 - 都市之门C座401
深圳前海第一网络科技有限公司设计部<!sp>产品经理/设计总监/框架设...<!sp>12k-20k<!sp>深圳<!sp>经验3-5年<!sp>'理财,金融,产品设计,产品经理'<!sp>11:30<!sp>拉勾网<!sp>'双休,五险一金,分红,年终奖金'<!sp>'设计能力,文案能力,逻辑思维能力,沟通表达能力,专业素质良好,领悟能力,创新能力,团队协作能力'<!sp>深圳 - 龙华新区 - 民治 - 南贤商业广场A座18楼17A08室
深圳市普方立民科技股份有限公司深圳营销事业部<!sp>设计总监<!sp>15k-30k<!sp>深圳<!sp>经验5-10年<!sp>'广告营销,总监,新媒体,创意广告'<!sp>2018-01-10<!sp>拉勾网<!sp>'设计总监,广告公司,团队年轻,零食福利'<!sp>'设计能力,领导能力,美术功底,专业素质良好,团队协作能力'<!sp>深圳 - 南山区 - 桃源街道金骐智谷大厦2403室
