飞博共创运营<!sp>运营总监<!sp>15k-30k<!sp>厦门<!sp>经验5-10年<!sp>'移动互联网,总监,运营,CRM'<!sp>10:43<!sp>拉勾网<!sp>'高薪,高速增长'<!sp>'领导能力,领悟能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>厦门 - 思明区 - 前埔医院 - 软件园 软件园二期观日路46号4层
成都原初（JDG战队）运营部<!sp>运营总监<!sp>20k-30k<!sp>上海<!sp>经验3-5年<!sp>'总监,资深,高级,数据,运营,新媒体'<!sp>09:37<!sp>拉勾网<!sp>'五险一金,周末双休,节日福利,带薪年假'<!sp>'形象气质佳,逻辑思维能力,公关能力,团队协作能力,抗压能力,沟通表达能力,执行能力'<!sp>工作地址
心理壹点灵运营部<!sp>运营总监<!sp>30k-45k<!sp>杭州<!sp>经验5-10年<!sp>'移动互联网,总监,用户运营,运营,活动运营,app'<!sp>1天前<!sp>拉勾网<!sp>'股权激励,合伙制企业,蓝海市场'<!sp>'执行能力,服务意识,设计能力,逻辑思维能力,文案能力,团队协作能力,领导能力,专业素质良好,沟通表达能力,主动性,抗压能力'<!sp>杭州市市市 - 滨江区 - 西兴 - 阡陌路459号C2-302
掌众金服<!sp>运营总监<!sp>35k-50k<!sp>北京<!sp>经验5-10年<!sp>'金融,运营,总监'<!sp>10:46<!sp>拉勾网<!sp>'平台好,发展空间大'<!sp>'逻辑思维能力,领导能力,主动性,团队协作能力,自我管理能力,抗压能力,执行能力'<!sp>北京 - 海淀区 - 知春路 - 知春路锦秋国际B座10层
谷川联行运营部<!sp>运营总监<!sp>8k-12k<!sp>天津<!sp>经验3-5年<!sp>'移动互联网,总监,资深,高级,活动运营'<!sp>09:14<!sp>拉勾网<!sp>'年底奖金,加班补贴,行业领军'<!sp>'逻辑思维能力,领导能力,主动性,团队协作能力,自我管理能力,抗压能力,执行能力'<!sp>天津市 - 和平区 - 滨江道 - 天津环球金融中心
黑派科技用户运营<!sp>运营总监<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'总监,用户,活动运营,用户研究'<!sp>1天前<!sp>拉勾网<!sp>'大牛云集,成长迅速,福利待遇好,团队氛围好'<!sp>'逻辑思维能力,执行能力,设计能力,领悟能力,英语基础,领导能力,抗压能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 朝阳门 - 望京SOHO T1 C座1207
广州李子网络科技有限公司运营部<!sp>运营总监<!sp>20k-30k<!sp>广州<!sp>经验5-10年<!sp>'运营,总监,副总裁'<!sp>2天前<!sp>拉勾网<!sp>'股权,福利好,颜值高,活动多'<!sp>'逻辑思维能力,领导能力,执行能力,团队协作能力,创新能力,沟通表达能力'<!sp>广州市 - 天河区 - 沙河 - 花城大道68号环球都会广场4706
阿基米德fm<!sp>运营总监<!sp>25k-35k<!sp>上海<!sp>经验10年以上<!sp>'运营,总监,电商'<!sp>12:06<!sp>拉勾网<!sp>'五险一金,补充公积金,13薪,饭贴'<!sp>'逻辑思维能力,执行能力,团队协作能力,服务意识,专业素质良好,沟通表达能力'<!sp>上海 - 长宁区 - 古北 - 虹桥路1376号广播大厦8楼
纳里健康创新事业部<!sp>运营总监<!sp>20k-40k<!sp>杭州<!sp>经验5-10年<!sp>'运营'<!sp>09:48<!sp>拉勾网<!sp>'快发展,核心团队,股权激励'<!sp>'执行能力,逻辑思维能力,开拓精神,沟通表达能力,团队协作能力,专业素质良好,抗压能力,思想品质,领导能力,良好的职业背景'<!sp>杭州 - 滨江区 - 开发区 - 江南大道3688号潮人汇9楼
桔子分期平台运营部<!sp>运营总监<!sp>25k-35k<!sp>北京<!sp>经验5-10年<!sp>'总监,运营,活动,市场,品类,电商'<!sp>1天前<!sp>拉勾网<!sp>'平台广阔,福利丰厚'<!sp>'执行能力,团队协作能力,领导能力,逻辑思维能力,责任心,学习能力,创新能力'<!sp>北京 - 朝阳区 - 亚运村 - 朝阳区小营北路11号和泰大厦A座
