千寻位置现实捕捉<!sp>机器学习／深度学习<!sp>18k-35k<!sp>上海<!sp>经验3-5年<!sp>'深度学习,open CV'<!sp>1天前<!sp>拉勾网<!sp>'阿里系平台,发展前景广阔'<!sp>'学习能力,美术功底,逻辑思维能力,常用办公软件的使用,领导能力,团队协作能力,专业素质良好,沟通表达能力'<!sp>上海 - 杨浦区 - 国权北路1600号湾谷科技园C5栋9楼
腾讯无线研发部<!sp>MIG03-NLP机器学习工程师/...<!sp>20k-40k<!sp>深圳<!sp>经验3-5年<!sp>'算法,机器学习,NLP,深度学习'<!sp>3天前<!sp>拉勾网<!sp>'大平台,大空间,AI'<!sp>''<!sp>深圳 - 南山区 - 科技园 - 大族科技中心
同盾科技<!sp>机器学习资深工程师-杭州-...<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'广告营销,资深,金融,大数据,机器学习,电商'<!sp>1天前<!sp>拉勾网<!sp>'技术大牛多,行业发展快,五险一金'<!sp>'设计能力,学习能力,逻辑思维能力,良好的职业背景,领悟能力,钻研能力,上进心'<!sp>杭州 - 余杭区 - 仓前 - 文一西路998号海创园
竹间智能科技(上海)有限公司<!sp>机器学习工程师<!sp>20k以上<!sp>上海<!sp>经验不限<!sp>'算法,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'年底双薪,股票期权,五险一金,弹性工作'<!sp>'学习能力,逻辑思维能力,服务意识,领悟能力,专业素质良好'<!sp>上海 - 徐汇区 - 田林 - 宜山路700号
慕课网商务<!sp>机器学习讲师<!sp>30k-35k<!sp>北京<!sp>经验1-3年<!sp>'python,r语言,算法,机器学习'<!sp>2018-01-09<!sp>拉勾网<!sp>'大平台,分成丰厚,持续分成,时间自由'<!sp>'逻辑思维能力,团队协作能力,沟通表达能力'<!sp>工作地址
人人行(借贷宝)<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'专家,资深,数据分析,数据挖掘,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'九鼎控股,公园办公,六险一金,节日福利'<!sp>'学习能力,逻辑思维能力,团队协作能力,设计能力,领悟能力,创新能力'<!sp>北京市 - 朝阳区 - 奥运村 - 北京市朝阳区安立路30号仰山公园东一门2号楼
久远银海<!sp>机器学习算法工程师<!sp>8k-15k<!sp>成都<!sp>经验1-3年<!sp>'数据分析,算法,机器学习,深度学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,五险一金,周末双休,定期体检'<!sp>'常用办公软件的使用,逻辑思维能力,学习能力'<!sp>成都 - 锦江区 - 三色路163号银海芯座A座25楼
宝尊电商创新中心<!sp>机器学习高级工程师<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'算法,人工智能,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'环境好,福利多多,领导nic,弹性工作'<!sp>'钻研能力,学习能力,逻辑思维能力,责任心,沟通表达能力,思想品质,执行能力,团队协作能力,上进心'<!sp>上海 - 闸北区 - 场中路 - 万荣路1268号B栋
阿里巴巴—高德<!sp>数据挖掘/机器学习专家<!sp>30k-50k<!sp>北京<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,深度学习,大数据,数据分析'<!sp>2018-01-03<!sp>拉勾网<!sp>'地图专家,阿里平台,年底双薪,股票'<!sp>'逻辑思维能力,学习能力,常用办公软件的使用,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 望京方恒国际A座
Gridsum 国双<!sp>机器学习技术经理（上海-静...<!sp>25k-40k<!sp>上海<!sp>经验3-5年<!sp>'算法,机器学习,深度学习'<!sp>2018-01-19<!sp>拉勾网<!sp>'六险一金,奖金丰厚,技术牛人多'<!sp>'逻辑思维能力,钻研能力,学习能力,团队协作能力'<!sp>上海 - 静安区 - 静安寺 - 上海市静安区南京西路1468号中欣大厦 35、40层
HYPEREAL<!sp>机器学习研究员<!sp>50k-70k<!sp>上海<!sp>经验5-10年<!sp>'专家,资深,算法,人工智能,机器学习,深度学习'<!sp>2018-01-18<!sp>拉勾网<!sp>'精英技术团队,丰厚薪资,期权'<!sp>'学习能力,钻研能力,创新能力,团队协作能力,沟通表达能力'<!sp>上海 - 徐汇区 - 虹梅路 - 虹梅路2071号远中产业园4期2号楼2楼
美团点评平台及酒旅事业群<!sp>高级机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'资深,高级,中级,搜索,算法,机器学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'技术大牛,团队氛围好,发展空间大,薪酬福利好'<!sp>'逻辑思维能力,学习能力,专业素质良好,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京国际研发园
商银行信用卡中心信息技术部<!sp>机器学习技术经理<!sp>30k-50k<!sp>上海<!sp>经验5-10年<!sp>'资深,数据分析,算法,机器学习,深度学习'<!sp>2天前<!sp>拉勾网<!sp>'职位晋升,福利待遇好,年度旅游,年度体检'<!sp>'领悟能力,逻辑思维能力,团队协作能力,良好的职业背景,学习能力,专业素质良好,沟通表达能力'<!sp>上海 - 浦东新区 - 唐镇 - 上海浦东新区来安路686号
和而泰AI Lab<!sp>机器学习工程师<!sp>20k-40k<!sp>深圳<!sp>经验3-5年<!sp>'高级,算法,机器学习,深度学习,人工智能,智能'<!sp>2天前<!sp>拉勾网<!sp>'上市企业,大牛团队,福利丰厚,前景无限'<!sp>'主动性,学习能力,逻辑思维能力,设计能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>深圳 - 南山区 - 科技园 - 科技南十路6号深圳市航天科技创新研究院
新智超脑新智研究院<!sp>机器学习算法工程师<!sp>20k-35k<!sp>上海<!sp>经验1-3年<!sp>'算法,软件开发,图像处理,模式识别'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,餐费补贴,交通补贴'<!sp>'逻辑思维能力,设计能力,执行能力,美术功底,学习能力,常用办公软件的使用,主动性,思想品质,责任心,上进心,创新能力,团队协作能力'<!sp>上海 - 杨浦区 - 政立路421号C栋1201室
百度定制化广告技术部<!sp>数据挖掘、机器学习资深工程师<!sp>35k-50k<!sp>上海<!sp>经验3-5年<!sp>'C/C++,数据挖掘,机器学习'<!sp>1天前<!sp>拉勾网<!sp>'平台大'<!sp>''<!sp>上海 - 浦东新区 - 百度上海研发中心（纳贤路701号）
腾讯MIG移动互联网事业群<!sp>MIG18-机器学习系统开发工...<!sp>20k-36k<!sp>深圳<!sp>经验1-3年<!sp>'广告营销,后端开发,python,Java'<!sp>3天前<!sp>拉勾网<!sp>'大平台,大咖多'<!sp>'学习能力'<!sp>深圳 - 南山区 - 科技园 - 大族科技中心
上海宏鹿信息技术服务有限公司风控部<!sp>机器学习工程师<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'广告营销,算法,人工智能,机器学习'<!sp>2018-01-19<!sp>拉勾网<!sp>'五险一金,带薪年假,员工旅游,年终奖金'<!sp>'设计能力,学习能力,逻辑思维能力,主动性,沟通表达能力'<!sp>上海 - 浦东新区 - 张江 - 盛夏路666号D栋6楼
引导美研发部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>深圳<!sp>经验1-3年<!sp>'数据分析,算法,机器学习,模式识别,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'员工福利,期权股权,投资分红,扁平化管理'<!sp>'学习能力,逻辑思维能力,美术功底,钻研能力,专业素质良好,沟通表达能力,团队协作能力,领悟能力'<!sp>深圳 - 福田区 - 竹子林 - 紫竹七道一号博园商务大厦九楼（园博园正门旁）
顺丰科技有限公司顺丰科技<!sp>机器学习算法工程师<!sp>18k-36k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,自然语言处理,物流'<!sp>1天前<!sp>拉勾网<!sp>'集团背景,团队优秀,成长速度快,五险一金'<!sp>'逻辑思维能力,学习能力,良好的职业背景'<!sp>北京 - 海淀区 - 五道口 - 学清嘉创大厦
美宅算法组<!sp>机器学习算法研究员<!sp>20k-30k<!sp>北京<!sp>经验1-3年<!sp>'中级,机器学习,图形处理,计算机视觉,模式识别,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'行业前景好,员工持股'<!sp>'抗压能力,沟通表达能力,学习能力,良好的职业背景,专业素质良好,逻辑思维能力,钻研能力,常用办公软件的使用'<!sp>北京市 - 海淀区 - 苏州桥 - 长春桥路5号新起点嘉园10号楼
美团点评酒旅平台<!sp>机器学习（算法工程师)<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,中级,初级,算法,机器学习'<!sp>3天前<!sp>拉勾网<!sp>'大平台,技术氛围好,成长空间大,年终多薪'<!sp>'学习能力,逻辑思维能力,设计能力'<!sp>北京 - 朝阳区 - 望京 - 望京东路6号 望京国际研发园三期F/G座 美团网
滴滴出行<!sp>机器学习工程师(定价方向)...<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'滴滴'<!sp>1天前<!sp>拉勾网<!sp>'广阔平台,急速成长,诱人福利'<!sp>'学习能力,专业素质良好,逻辑思维能力,常用办公软件的使用,设计能力'<!sp>北京 - 海淀区 - 北京市海淀区东北旺西路8号数字山谷
卖座网智能销售部<!sp>机器学习算法工程师<!sp>18k-35k<!sp>深圳<!sp>经验3-5年<!sp>'算法,数据挖掘,机器学习,深度学习,推荐,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'福利待遇,发展前景'<!sp>'逻辑思维能力,专业素质良好,学习能力,沟通表达能力,团队协作能力,服务意识,设计能力'<!sp>深圳 - 南山区 - 科技园 - 高新科技园中区科苑路15号科兴科学园B3-16楼
饿了么搜索推荐研发部<!sp>机器学习专家<!sp>28k-55k<!sp>上海<!sp>经验3-5年<!sp>'搜索,算法,机器学习,推荐,人工智能,大数据'<!sp>2017-12-26<!sp>拉勾网<!sp>'发展平台好,薪资open 环境nice 技术氛围浓'<!sp>''<!sp>上海 - 普陀区 - 长征 - 金沙江路1518弄近铁城市广场北座4楼401室
商银行信用卡中心信息技术部<!sp>机器学习工程师<!sp>25k-40k<!sp>上海<!sp>经验3-5年<!sp>'图像处理,算法,音视频处理,图形处理,机器学习,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'职位晋升,福利待遇好,工作氛围好'<!sp>'领悟能力,逻辑思维能力,良好的职业背景,学习能力,专业素质良好,沟通表达能力'<!sp>上海市 - 浦东新区 - 唐镇 - 上海浦东新区来安路686号
一起好技术部<!sp>机器学习/深度学习工程师<!sp>10k-20k<!sp>武汉<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,大数据,数据挖掘,人工智能'<!sp>2018-01-04<!sp>拉勾网<!sp>'钱景好,弹性工作,互联网金融'<!sp>''<!sp>武汉 - 武昌区 - 水果湖 - 万达汉街总部国际F栋1604-1606号
小米MIUI<!sp>机器学习研发工程师【MIUI】<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'高级,算法,数据挖掘,机器学习,NLP,CTR'<!sp>1天前<!sp>拉勾网<!sp>'期权激励,平台大,牛人多'<!sp>''<!sp>北京 - 海淀区 - 清河 - 清河中街华润五彩城小米写字楼
京东商城<!sp>机器学习算法工程师<!sp>20k-35k<!sp>北京<!sp>经验3-5年<!sp>'搜索,算法'<!sp>1天前<!sp>拉勾网<!sp>'大平台,发展空间大,免费班车'<!sp>'学习能力,逻辑思维能力,良好的职业背景'<!sp>北京 - 大兴区 - 经海路京东总部大楼
转转转转机器学习组<!sp>机器学习平台专家<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'专家,Java,大数据,Scala,分布式,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'空间大,难度高'<!sp>''<!sp>北京 - 海淀区 - 清河 - 西小口路东升科技园
百度金融数据智能部<!sp>金融数据智能部_风控数据...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,金融,算法,建模,机器学习,深度学习'<!sp>2018-01-21<!sp>拉勾网<!sp>'绩效奖金'<!sp>''<!sp>北京 - 海淀区 - 百度大厦
美团点评智能技术中心<!sp>机器学习算法专家<!sp>35k-50k<!sp>北京<!sp>经验5-10年<!sp>'高级,算法,数据挖掘,机器学习,深度学习,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'大牛云集,前沿科技,弹性工作,核心部门'<!sp>'学习能力,专业素质良好,钻研能力,逻辑思维能力'<!sp>北京 - 朝阳区 - 望京 - 望京国际研发园
滴滴出行Rlab<!sp>高级机器学习工程师/专家<!sp>20k-35k<!sp>北京<!sp>经验1-3年<!sp>'资深,高级,搜索,算法,机器学习,推荐'<!sp>2018-01-19<!sp>拉勾网<!sp>'六险一金,晚饭餐补,健身房,急速成长'<!sp>'学习能力,逻辑思维能力,专业素质良好,钻研能力'<!sp>北京 - 海淀区 - 西北旺 - 东北旺西路10号院东区17号楼文思海辉大厦2层或4层
迈外迪人工智能研究院<!sp>机器学习算法工程师<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,大数据,数据分析,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'办公地海淀,领导好,技术有提升,公司有美女'<!sp>'设计能力,学习能力,逻辑思维能力,领悟能力,领导能力,良好的职业背景,专业素质良好,英语基础'<!sp>北京 - 朝阳区 - 百子湾 - 化工路 地铁七号线化工站C口南150米 云享客联合办公2F
新浪网新浪移动<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'业务好,成长快'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 西北旺 - 西二旗新浪总部
信数网络技术部门<!sp>机器学习工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'数据挖掘,机器学习,深度学习,NLP,语音处理,人工智能'<!sp>2018-01-15<!sp>拉勾网<!sp>'技术大牛,内部福利,不打卡'<!sp>'学习能力,逻辑思维能力,设计能力'<!sp>北京 - 海淀区 - 北京大学 - 中关村融科资讯中心
YY Inc直播技术部<!sp>机器学习<!sp>15k-20k<!sp>广州<!sp>经验3-5年<!sp>'机器学习'<!sp>2018-01-12<!sp>拉勾网<!sp>'公司规模大,发展空间大'<!sp>'逻辑思维能力,美术功底,良好的职业背景,学习能力,常用办公软件的使用'<!sp>广州 - 番禺区 - 广州市番禺区广州市番禺区万博商务区万达商业广场北区B-1栋
简书产品部<!sp>机器学习算法工程师/专家<!sp>30k-40k<!sp>上海<!sp>经验3-5年<!sp>'资深,高级,数据分析,数据挖掘,机器学习,深度学习'<!sp>2天前<!sp>拉勾网<!sp>'大牛团队,创业氛围,福利多多,扁平管理'<!sp>'学习能力,逻辑思维能力,专业素质良好,服务意识,钻研能力'<!sp>上海 - 徐汇区 - 徐家汇 - 徐虹北路20号创邑Space 6层
腾讯无线研发部<!sp>MIG03-机器学习高级工程师...<!sp>18k-36k<!sp>深圳<!sp>经验3-5年<!sp>'搜索,算法,数据挖掘,机器学习,推荐,NLP'<!sp>3天前<!sp>拉勾网<!sp>'大平台,大空间'<!sp>''<!sp>深圳市 - 南山区 - 科技园 - 腾讯大厦
曼威人工智能<!sp>机器学习-自然语言处理<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,语音处理,模式识别,视频'<!sp>2018-01-09<!sp>拉勾网<!sp>'平台好,领导好,环境好'<!sp>'学习能力,逻辑思维能力,设计能力,沟通表达能力,创新能力,团队协作能力,常用办公软件的使用,文案能力,英语基础,责任心'<!sp>上海 - 徐汇区 - 漕宝路 - 漕河泾开发区桂平路391号新漕河泾国际商务中心A座29楼
Finogeeks研发部<!sp>机器学习研发工程师<!sp>20k-40k<!sp>深圳<!sp>经验不限<!sp>'机器学习,Java,深度学习,自然语言处理'<!sp>1天前<!sp>拉勾网<!sp>'前沿,金融科技'<!sp>'领悟能力,逻辑思维能力,学习能力,专业素质良好,沟通表达能力,团队协作能力,文案能力,钻研能力,英语基础,开拓精神'<!sp>深圳 - 南山区 - 科技园 - 航天科技广场A座23层
阿里巴巴移动事业群-UC国际业务部-短视频<!sp>搜索推荐技术专家-大数据/...<!sp>15k-30k<!sp>广州<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,视频,自然语言处理'<!sp>2天前<!sp>拉勾网<!sp>'阿里平台,行业前沿'<!sp>'服务意识,设计能力,逻辑思维能力,学习能力,专业素质良好'<!sp>广州 - 天河区 - 员村 - 黄埔大道西平云路163号广电平云广场B塔16楼
程创科技研发<!sp>算法工程师-自然语言处理／...<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'金融,算法,机器学习,数据挖掘'<!sp>2018-01-05<!sp>拉勾网<!sp>'高速成长,期权,创业,五险一金'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 中关村大街鼎好A座三层
新浪微博微博移动服务技术部<!sp>机器学习算法工程师<!sp>25k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,推荐,NLP,模式识别,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'大平台福利,六险一金,免费班车,带薪年假'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 中关村软件园 新浪总部大厦
三角兽科技研究组<!sp>自然语言处理及机器学习研...<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'Tensor,语义分析,深度学习,人工智能'<!sp>3天前<!sp>拉勾网<!sp>'五险一金,各种补贴,居住证零食,出国游'<!sp>'领悟能力,学习能力,钻研能力,专业素质良好,主动性,抗压能力,团队协作能力'<!sp>北京市 - 朝阳区 - 小关 - 惠新东街甲2号住总地产大厦8层
百度云计算事业部<!sp>机器学习/深度学习平台高...<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'数据挖掘,机器学习,深度学习,人工智能'<!sp>2018-01-17<!sp>拉勾网<!sp>'高薪'<!sp>''<!sp>北京 - 海淀区 - 西北旺 - 百度科技园
零零无限研发部<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'机器学习,深度学习'<!sp>2018-01-19<!sp>拉勾网<!sp>'优秀团队,人工智能,无人机'<!sp>'学习能力'<!sp>北京 - 海淀区 - 北太平庄 - 北太平庄路18号城建大厦
北京三星通信研究院研发部<!sp>机器学习/模式识别算法研...<!sp>15k-25k<!sp>北京<!sp>经验不限<!sp>'算法,机器学习,模式识别,深度学习'<!sp>2018-01-09<!sp>拉勾网<!sp>'500强,人工智能,弹性工作,技术氛围'<!sp>''<!sp>北京 - 朝阳区 - 太阳宫 - 十号线太阳宫地铁站C口
BotHub技术部<!sp>机器学习工程师<!sp>15k-30k<!sp>上海<!sp>经验1-3年<!sp>'NLP,Python,算法,机器学习,AI,自然语言处理'<!sp>2018-01-02<!sp>拉勾网<!sp>'深度学习,团队氛围好,期权激励,核心团队'<!sp>''<!sp>上海 - 长宁区 - 中山公园 - 愚园路1107号弘基创邑园1号楼4楼
达飞金控风险管理部<!sp>机器学习工程师<!sp>20k-30k<!sp>深圳<!sp>经验1-3年<!sp>'机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'海景办公,绩效奖金,节日福利'<!sp>'美术功底,学习能力,逻辑思维能力,文案能力,良好的职业背景,钻研能力,抗压能力,责任心,团队协作能力'<!sp>深圳 - 南山区 - 蛇口 - 招商局广场30楼
东方闻道研发中心<!sp>机器学习算法工程师<!sp>20k-30k<!sp>成都<!sp>经验5-10年<!sp>'算法,大数据,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'年终奖励,年度体检,餐饮补贴,下班很早'<!sp>'钻研能力,逻辑思维能力,服务意识,设计能力,学习能力,团队协作能力'<!sp>成都 - 高新区 - 天府软件园D区
滴滴出行<!sp>机器学习工程师(体验方向)...<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'滴滴'<!sp>1天前<!sp>拉勾网<!sp>'诱人福利,广阔平台,急速成长'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,常用办公软件的使用'<!sp>北京 - 海淀区 - 北京市海淀区东北旺西路8号数字山谷
梅卡曼德研发<!sp>机器学习算法工程师<!sp>25k-50k<!sp>北京<!sp>经验1-3年<!sp>'算法,机器学习,深度学习,计算机视觉,模式识别,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'风口行业,大牛团队,待遇佳,氛围好'<!sp>''<!sp>北京 - 海淀区 - 中关村 - 五道口HomeX加速器
掌众金服研发部<!sp>机器学习工程师<!sp>22k-44k<!sp>杭州<!sp>经验3-5年<!sp>'大数据,机器学习,深度学习,风控'<!sp>2018-01-09<!sp>拉勾网<!sp>'福利待遇好,双休,工作环境佳'<!sp>'学习能力,逻辑思维能力,创新能力,沟通表达能力,执行能力,团队协作能力'<!sp>杭州市市市 - 西湖区 - 西溪 - 文二西路858号25号楼3楼
追一科技研发部<!sp>机器学习算法工程师<!sp>20k-40k<!sp>上海<!sp>经验1-3年<!sp>'算法,人工智能,机器学习,深度学习'<!sp>2天前<!sp>拉勾网<!sp>'人工智能,风口行业,上升空间'<!sp>'设计能力,学习能力,逻辑思维能力,执行能力,领悟能力'<!sp>上海 - 长宁区 - 衡山路 - 东方维京大厦
蚂蚁金服集团蚂蚁金服-平台数据技术事业群<!sp>机器学习算法工程师<!sp>20k-35k<!sp>杭州<!sp>经验3-5年<!sp>'专家,高级,数据分析,算法,机器学习,数据挖掘'<!sp>2018-01-07<!sp>拉勾网<!sp>'发展空间大,股票期权,年底双薪,绩效奖金'<!sp>'逻辑思维能力,学习能力,执行能力,专业素质良好,文案能力,自我管理能力,团队协作能力,创新能力'<!sp>杭州 - 西湖区 - 西湖 - 州市万塘路18号黄龙时代广场B座
阿里巴巴—高德<!sp>机器学习/数据挖掘/NLP资...<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,算法,数据挖掘,机器学习,NLP,地图'<!sp>2018-01-02<!sp>拉勾网<!sp>'发展前景'<!sp>'服务意识,学习能力,逻辑思维能力,领悟能力,设计能力'<!sp>北京 - 朝阳区 - 望京 - 阜荣街10号首开广场
全视云安技术部<!sp>机器学习研究员<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'算法,机器学习,数据挖掘,信息安全'<!sp>2017-12-25<!sp>拉勾网<!sp>'顶级团队,弹性休假,扁平化'<!sp>'学习能力,领悟能力,设计能力,逻辑思维能力,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京SOHO
优复教育人工智能实验室<!sp>机器学习工程师<!sp>20k-40k<!sp>上海<!sp>经验1-3年<!sp>'高级,算法,机器学习,深度学习,推荐,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'核心成员,授予股权,晋升空间大,福利待遇好'<!sp>'学习能力,逻辑思维能力,钻研能力,团队协作能力,责任心,设计能力,专业素质良好'<!sp>上海市 - 徐汇区 - 虹桥 - 虹桥路333号上海交大慧谷高科技创业中心
猎户星空人工智能<!sp>机器学习算法工程师<!sp>25k-50k<!sp>北京<!sp>经验不限<!sp>'语音,算法,机器学习,深度学习,人工智能'<!sp>2018-01-14<!sp>拉勾网<!sp>'个人成长快,公司产品受市场认可'<!sp>'学习能力,逻辑思维能力'<!sp>北京 - 朝阳区 - 三里屯 - 盈科中心
百度金融数据智能部<!sp>机器学习资深研发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,资深,高级,中级,算法,机器学习'<!sp>2018-01-17<!sp>拉勾网<!sp>'成长空间大,年终丰厚'<!sp>''<!sp>北京 - 海淀区 - 百度大厦
滴滴出行大数据&滴滴研究院<!sp>计算机视觉/机器学习工程...<!sp>25k-50k<!sp>北京<!sp>经验3-5年<!sp>'图像处理,数据,算法,大数据'<!sp>1天前<!sp>拉勾网<!sp>'领域新,挑战大,福利棒'<!sp>'美术功底,逻辑思维能力,专业素质良好,学习能力'<!sp>北京 - 海淀区 - 西北旺 - 东北旺西路8号院尚东数字山谷B区1号楼
优复教育人工智能实验室<!sp>机器学习专家<!sp>30k-60k<!sp>上海<!sp>经验3-5年<!sp>'资深,高级,算法,机器学习,深度学习,人工智能'<!sp>2天前<!sp>拉勾网<!sp>'合伙人身份,授予股权,高度自由,成长空间大'<!sp>'学习能力,逻辑思维能力,钻研能力,团队协作能力,责任心,设计能力,专业素质良好,领悟能力,沟通表达能力'<!sp>上海 - 徐汇区 - 徐家汇 - 虹桥路333号上海交大慧谷高科技创业中心
携程<!sp>度假研发-机器学习工程师<!sp>16k-28k<!sp>上海<!sp>经验3-5年<!sp>'高级,算法,机器学习,深度学习'<!sp>2018-01-02<!sp>拉勾网<!sp>'五险一金,公司旅游,员工体检,餐饮补贴'<!sp>'逻辑思维能力,学习能力,创新能力,专业素质良好,英语基础,常用办公软件的使用'<!sp>上海市 - 长宁区 - 华漕 - 上海市长宁区金钟路968号凌空SOHO
引导美研发部<!sp>机器学习算法工程师<!sp>15k-30k<!sp>深圳<!sp>经验3-5年<!sp>'数据分析,机器学习,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'扁平化管理,高薪,期权股权,投资分红'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>深圳 - 福田区 - 竹子林 - 紫竹七道一号博园商务大厦九楼（园博园正门旁）
美图公司实验室<!sp>机器学习开发工程师（实验...<!sp>14k-28k<!sp>北京<!sp>经验1年以下<!sp>'python,云计算,机器学习,Java,深度学习'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,核心部门,技术大牛'<!sp>'学习能力,主动性,专业素质良好,逻辑思维能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口-优盛大厦D座19层
美团点评外卖配送部<!sp>数据挖掘/机器学习算法<!sp>20k-35k<!sp>北京<!sp>经验3-5年<!sp>'算法,大数据,数据分析,数据挖掘'<!sp>3天前<!sp>拉勾网<!sp>'独角兽企业,班车接送'<!sp>'钻研能力,逻辑思维能力,服务意识'<!sp>北京 - 朝阳区 - 望京东路科创大厦
北京极智汇技术部<!sp>机器学习（算法设计师）<!sp>30k-60k<!sp>北京<!sp>经验3-5年<!sp>'数据分析,搜索,算法,数据挖掘,深度学习,人工智能'<!sp>1天前<!sp>拉勾网<!sp>'五险一金+弹性工作+下午茶零食随意+高奖金'<!sp>'逻辑思维能力,设计能力,领悟能力,专业素质良好,领导能力,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 安慧桥 - 北四环东路108号千鹤家园1号楼19层1903
百融金服研发部<!sp>算法工程师—机器学习方向<!sp>15k-30k<!sp>北京<!sp>经验不限<!sp>'金融,算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,商业保险,弹性工作,领导是大牛'<!sp>'学习能力,逻辑思维能力,专业素质良好'<!sp>北京 - 海淀区 - 中关村 - 科学院南路2号融科资讯中心C座20层
新浪网新浪移动<!sp>机器学习算法工程师<!sp>20k-40k<!sp>北京<!sp>经验不限<!sp>'广告营销,算法,机器学习,数据挖掘'<!sp>1天前<!sp>拉勾网<!sp>'业务好,机会多,成长快'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,沟通表达能力,团队协作能力'<!sp>北京市 - 海淀区 - 马连洼 - 北京市海淀区西北旺东路10号院西区8号楼新浪总部大厦
嗨住技术研发部<!sp>推荐算法/机器学习工程师<!sp>20k-30k<!sp>上海<!sp>经验不限<!sp>'广告营销,搜索,算法,机器学习,推荐,大数据'<!sp>2018-01-19<!sp>拉勾网<!sp>'机器学习,推荐算法,搜索,数据挖掘'<!sp>'设计能力,学习能力,逻辑思维能力,专业素质良好,领悟能力,上进心'<!sp>上海 - 静安区 - 广中西路777弄多媒体谷128号602
