中电博亚技术部<!sp>C++<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'C/C++,linux,服务器端,客户端'<!sp>11:52<!sp>拉勾网<!sp>'五险一金,绩效奖金,扁平管理,周末双休'<!sp>'逻辑思维能力,领悟能力,专业素质良好'<!sp>北京市 - 海淀区 - 清河 - 科技财富中心B座
武汉佰钧成技术有限公司研发部<!sp>C++软件工程师<!sp>12k-17k<!sp>上海<!sp>经验1-3年<!sp>'C/C++,linux,C++'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,不加班双休,弹性工作制,带薪年假'<!sp>'服务意识,逻辑思维能力,设计能力,英语基础,良好的职业背景,团队协作能力'<!sp>上海 - 长宁区 - 北新泾 - 天山西路联强国际广场
百得思维应用研发部<!sp>C++开发工程师<!sp>10k-17k<!sp>合肥<!sp>经验3-5年<!sp>'C/C++'<!sp>1天前<!sp>拉勾网<!sp>'2-5年终,五险一金,餐补食堂,班车油补'<!sp>'领悟能力,专业素质良好,服务意识,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>合肥 - 高新区 - 讯飞大厦
金证股份证券软件总部<!sp>c++开发工程师<!sp>10k-15k<!sp>深圳<!sp>经验1-3年<!sp>'C/C++'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,假期多,金融IT,活动多'<!sp>''<!sp>深圳 - 南山区 - 深圳湾 - 科技园高新南五道金证股份8楼
日月同行项目部<!sp>C++开发工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'Direct,C/C++,Windows'<!sp>16:36<!sp>拉勾网<!sp>'周末双休,五险一金,节日福利'<!sp>'设计能力,专业素质良好,文案能力,逻辑思维能力'<!sp>北京 - 海淀区 - 清河 - 北京市海淀区学清路8号科技财富中心B座B801A
东怡源技术部<!sp>C++<!sp>10k-15k<!sp>广州<!sp>经验3-5年<!sp>'MySQL,软件开发,C++,Java'<!sp>10:21<!sp>拉勾网<!sp>'五险,员工旅游,包吃包住,定期体检'<!sp>'领导能力,团队协作能力,设计能力,逻辑思维能力,专业素质良好,英语基础,文案能力,沟通表达能力,创新能力,领悟能力,抗压能力,学习能力,钻研能力'<!sp>广州 - 南沙区 - 进港大道10号 B座 1701
沙盒网络<!sp>C++程序员<!sp>10k-20k<!sp>珠海<!sp>经验1-3年<!sp>'手游,C++,游戏开发'<!sp>09:57<!sp>拉勾网<!sp>'期权激励'<!sp>'逻辑思维能力,专业素质良好,沟通表达能力,学习能力,设计能力,英语基础'<!sp>珠海 - 香洲区 - 唐家湾镇港乐路8号B区608
创优天下技术部<!sp>C++开发工程师<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'C/C++,手游,Erlang,C++,游戏开发'<!sp>09:20<!sp>拉勾网<!sp>'成长空间大,技术实力强,弹性工作制,带薪年病假'<!sp>'逻辑思维能力,服务意识,专业素质良好,设计能力'<!sp>北京市 - 海淀区 - 双榆树 - 中关村南大街6号中电信息大厦7层0711
捷通华声<!sp>技术总监（C++）<!sp>25k-50k<!sp>北京<!sp>经验5-10年<!sp>'C/C++,云计算,linux,技术总监,C++,Java'<!sp>08:49<!sp>拉勾网<!sp>'人工智能,项目奖金,五险一金,半年调薪'<!sp>'设计能力,逻辑思维能力,服务意识,专业素质良好,学习能力,自我管理能力'<!sp>北京 - 海淀区 - 西二旗 - 中关村软件园2A楼2101
有利网在线营销事业部<!sp>C++开发工程师<!sp>15k-30k<!sp>北京<!sp>经验3-5年<!sp>'C/C++,linux,C++,信息安全'<!sp>13:59<!sp>拉勾网<!sp>'团队氛围好,有大牛,双休,带薪年假'<!sp>'服务意识,设计能力,文案能力,团队协作能力,专业素质良好,逻辑思维能力'<!sp>北京 - 海淀区 - 中关村 - 丹棱街甲1号互联网金融中心17层
欢乐逛技术部<!sp>C++开发工程师<!sp>8k-16k<!sp>厦门<!sp>经验1-3年<!sp>'C/C++,php,Java'<!sp>09:56<!sp>拉勾网<!sp>'福利多多,六险一金,腾讯团队,大牛多多'<!sp>'逻辑思维能力,服务意识,学习能力,专业素质良好'<!sp>厦门 - 思明区 - 前埔医院 - 观音山康利金融大厦5楼
亿马联盟研发部<!sp>C++<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'C/C++,游戏开发,golang,lua'<!sp>1天前<!sp>拉勾网<!sp>'空间大近地铁'<!sp>'服务意识,设计能力,逻辑思维能力'<!sp>上海 - 浦东新区 - 张江 - 达尔文路88号半岛科技园区15号楼3楼
科达SVR事业部<!sp>C++开发工程师<!sp>10k-15k<!sp>上海<!sp>经验1-3年<!sp>'linux,软件开发,C++'<!sp>15:32<!sp>拉勾网<!sp>'15薪,交通补贴,餐饮补贴'<!sp>'责任心,思想品质,工作激情,沟通表达能力,吃苦耐劳,专业素质良好'<!sp>上海 - 徐汇区 - 虹梅路 - 虹梅路2007号2号楼
腾展叮咚（Dingtone）技术部<!sp>C++<!sp>18k-36k<!sp>杭州<!sp>经验3-5年<!sp>'移动互联网,C++,golang,Java'<!sp>12:00<!sp>拉勾网<!sp>'移动互联网,全球分布式,高并发大流量'<!sp>'服务意识,逻辑思维能力,设计能力,团队协作能力,责任心,创新能力'<!sp>杭州 - 西湖区 - 文三路 - 万塘路252号计量大厦
四象联创技术部<!sp>C++软件工程师<!sp>8k-15k<!sp>成都<!sp>经验1-3年<!sp>'mfc,C/C++,C++,qt,地图'<!sp>11:52<!sp>拉勾网<!sp>'五险,加班工资,年假,节假日福利'<!sp>'设计能力,常用办公软件的使用'<!sp>成都 - 金牛区 - 沙湾 - 成都市二环路北一段10号万科加州湾
跨界网络技术<!sp>C++<!sp>10k-15k<!sp>广州<!sp>经验1-3年<!sp>'游戏,C/C++,后端,游戏开发,lua'<!sp>09:19<!sp>拉勾网<!sp>'购买社保,c++,股票期权,岗位晋升'<!sp>'服务意识,上进心,专业素质良好,沟通表达能力,团队协作能力'<!sp>广州 - 越秀区 - 麓湖公园 - 麓苑路51号三荣大厦三层A6
武汉佰钧成技术有限公司SSBG-BU6<!sp>C++<!sp>5k-7k<!sp>武汉<!sp>经验1-3年<!sp>'linux,oracle,Shell,软件开发,C++'<!sp>10:33<!sp>拉勾网<!sp>'五险一金,商业保险,节日礼品,聚会聚餐'<!sp>'沟通表达能力,设计能力'<!sp>武汉市市市 - 江汉区 - 常青 - 湖北武汉江汉区新世界珠宝工业园区B栋2楼
捷通华声<!sp>技术经理（C++）<!sp>15k-25k<!sp>北京<!sp>经验3-5年<!sp>'高级,C/C++,linux,C++,Java'<!sp>08:49<!sp>拉勾网<!sp>'人工智能,项目奖金,五险一金,半年调薪'<!sp>'设计能力,逻辑思维能力,服务意识,专业素质良好,学习能力,自我管理能力'<!sp>北京 - 海淀区 - 西二旗 - 中关村软件园2A楼2101
德惟科技金融部<!sp>C++开发<!sp>8k-15k<!sp>广州<!sp>经验1-3年<!sp>'MySQL,C/C++,高级,c#,中级'<!sp>08:48<!sp>拉勾网<!sp>'技术大牛多,综合福利好,交通便利,包餐'<!sp>'设计能力'<!sp>广州 - 天河区 - 员村 - 体育西路城建大厦
中电博亚技术部<!sp>高级C++<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'高级,C/C++,linux,服务器端,客户端,windows'<!sp>11:52<!sp>拉勾网<!sp>'五险一金,员工旅游,零食福利,绩效奖金'<!sp>'逻辑思维能力,领悟能力,专业素质良好'<!sp>北京 - 海淀区 - 清河 - 科技财富中心B座
ZingFront智线技术<!sp>C++/GO 中级工程师<!sp>8k-15k<!sp>廊坊<!sp>经验1-3年<!sp>'中级,C++'<!sp>11:17<!sp>拉勾网<!sp>'带薪年假,福利好,办公环境好,氛围自由'<!sp>'专业素质良好,逻辑思维能力,设计能力,学习能力,团队协作能力'<!sp>廊坊 - 广阳区 - 北凤道阿尔卡迪亚
金证股份证券部门<!sp>C++<!sp>13k-20k<!sp>北京<!sp>经验3-5年<!sp>'C++'<!sp>10:41<!sp>拉勾网<!sp>'上市公司,证券行业,领导nice'<!sp>'设计能力,专业素质良好,抗压能力,责任心,团队协作能力'<!sp>北京 - 西城区 - 复兴门 - 北京市西城区金融大街丁26号金阳大厦
鲁班软件研发中心<!sp>C++<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'C/C++,客户端,算法,网络通信,windows,C++'<!sp>10:25<!sp>拉勾网<!sp>'技术成熟,技术氛围浓,发展空间大,环境舒适'<!sp>'逻辑思维能力,专业素质良好,沟通表达能力,团队协作能力,学习能力'<!sp>上海市 - 杨浦区 - 江湾 - 淞沪路433号6号楼3楼
