今日头条<!sp>Python 研发工程师<!sp>25k-45k<!sp>北京<!sp>经验3-5年<!sp>'后端开发'<!sp>09:46<!sp>拉勾网<!sp>'六险一金,高薪期权,弹性工作,免费三餐,租房补贴,带薪休假,扁平管理,职业大牛,晋升空间'<!sp>'设计能力,创新能力,专业素质良好,领悟能力,逻辑思维能力,服务意识,责任心,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 北京市海淀区知春路63号中国卫星通信大厦
人人行(借贷宝)IAAS部<!sp>Python<!sp>15k-25k<!sp>北京<!sp>经验1-3年<!sp>'云计算,Python,大数据,信息安全'<!sp>16:54<!sp>拉勾网<!sp>'九鼎控股,有钱任性,六险一金,福利好'<!sp>'团队协作能力,职业操守,设计能力,领悟能力,逻辑思维能力,专业素质良好,主动性,责任心,沟通表达能力,学习能力'<!sp>北京 - 朝阳区 - 北京市朝阳区安立路30号仰山公园东一门2号楼
兜乐科技技术研发部<!sp>Python<!sp>6k-12k<!sp>长沙<!sp>经验3-5年<!sp>'高级,中级,后端开发,Python,全栈,redis'<!sp>16:51<!sp>拉勾网<!sp>'交通便捷,待遇好,晋升空间大,环境好'<!sp>'专业素质良好,英语基础'<!sp>长沙 - 芙蓉区 - 五一大道 - 五一路人瑞潇湘国际3001（袁家岭地铁口旁 ）
进馨科技研发部<!sp>Python开发工程师<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'python,Ruby,云计算,linux,php'<!sp>15:53<!sp>拉勾网<!sp>'福利好,发展前景大,工作氛围好,妹子多'<!sp>'逻辑思维能力,设计能力,钻研能力,服务意识,文案能力,团队协作能力,抗压能力,沟通表达能力,学习能力'<!sp>上海 - 浦东新区 - 张江 - 盛夏路500号星峰企业园1号楼3楼
学堂在线平台开发部<!sp>Python开发工程师<!sp>20k-30k<!sp>北京<!sp>经验3-5年<!sp>'资深,高级,Python,linux,Java'<!sp>10:10<!sp>拉勾网<!sp>'五险一金,餐补,生日会,优秀团队'<!sp>'逻辑思维能力,设计能力,专业素质良好,领导能力,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 五道口 - 清华清华科技园科建大厦7层
俊云科技研发部<!sp>python开发工程师<!sp>8k-15k<!sp>成都<!sp>经验3-5年<!sp>'游戏,文化娱乐,Python,php,Java,旅游'<!sp>15:26<!sp>拉勾网<!sp>'百万级产品,高薪资,六险一金,氛围轻松'<!sp>''<!sp>成都 - 高新区 - 益州大道1999号15栋阿里中心701室706-708号
CDS研发部<!sp>python研发工程师<!sp>15k-25k<!sp>北京<!sp>经验5-10年<!sp>'云计算,Python,redis,架构'<!sp>10:06<!sp>拉勾网<!sp>'薪酬福利好,云计算公司'<!sp>''<!sp>北京 - 海淀区 - 四季青 - 东冉北街互联网金融产业园东门B3010室
iHandy技术部<!sp>Python开发工程师<!sp>15k-30k<!sp>北京<!sp>经验1-3年<!sp>'Python,后端,node.js,Java'<!sp>18:40<!sp>拉勾网<!sp>'六险一金,福利待遇佳,硅谷式办公,免费水果'<!sp>'团队协作能力,服务意识,学习能力,专业素质良好,抗压能力,沟通表达能力'<!sp>北京 - 海淀区 - 五道口 - 五道口
TELETRAAN软件开发<!sp>Python工程师<!sp>15k-30k<!sp>杭州<!sp>经验3-5年<!sp>'高级,后端开发,Python,web'<!sp>11:59<!sp>拉勾网<!sp>'弹性工作,硅谷团队,股权激励,全正版软件'<!sp>''<!sp>杭州 - 滨江区 - 西兴 - 物联网街451号芯图大厦
驻云云服务业务部<!sp>Python开发工程师<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'Python'<!sp>10:20<!sp>拉勾网<!sp>'阿里云,晋升快,空间大'<!sp>'服务意识,逻辑思维能力,沟通表达能力,团队协作能力,专业素质良好,主动性,英语基础,学习能力'<!sp>上海 - 浦东新区 - 张江 - 上海市浦东新区科苑路399号张江创新园7号楼
爱奇艺<!sp>Python开发工程师<!sp>18k-28k<!sp>北京<!sp>经验1-3年<!sp>'云计算,资深,高级,Python,golang'<!sp>10:23<!sp>拉勾网<!sp>'14薪,12天带薪年假,地铁周边'<!sp>'文案能力,专业素质良好,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>北京 - 海淀区 - 中关村 - 海淀北一街2号 爱奇艺创新大厦
好巧研发部<!sp>python工程师<!sp>15k-20k<!sp>北京<!sp>经验3-5年<!sp>'Python'<!sp>10:19<!sp>拉勾网<!sp>'带薪年假,五险一金,弹性工作,股票期权'<!sp>'专业素质良好,领悟能力,逻辑思维能力,设计能力,思想品质,沟通表达能力,团队协作能力'<!sp>北京 - 朝阳区 - 亚运村 - 安贞桥北安定路39号长新大厦
区块互连技术部<!sp>Python工程师<!sp>8k-12k<!sp>中山<!sp>经验3-5年<!sp>'金融,Python,信息安全,系统架构,Java'<!sp>10:06<!sp>拉勾网<!sp>'五险一金,弹性工作,带薪年假,节日福利'<!sp>'服务意识,设计能力,钻研能力,主动性,人脉资源,团队协作能力'<!sp>中山 - 中山市市辖区 - 东区大东裕3座南塔2301-2305
果雪科技技术研发中心<!sp>Python开发<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'Ruby,云计算,Python,电商'<!sp>09:20<!sp>拉勾网<!sp>'技术大牛,各类补贴,氛围好,年终奖金'<!sp>'设计能力,逻辑思维能力,专业素质良好,服务意识,领悟能力,责任心,沟通表达能力,团队协作能力'<!sp>上海 - 闵行区 - 漕宝路 - 宝龙城 T5栋
普林科技金融事业部<!sp>Python工程师-金融事业部<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'金融,Python,大数据,Java'<!sp>09:13<!sp>拉勾网<!sp>'平台好,发展空间大'<!sp>'逻辑思维能力,设计能力,文案能力,领悟能力,专业素质良好,沟通表达能力,上进心,学习能力'<!sp>北京 - 海淀区 - 中关村 - 北京市海淀区北四环西路67号中关村国际创新大厦602
零用钱研发部<!sp>Python<!sp>13k-16k<!sp>北京<!sp>经验1-3年<!sp>'MySQL,python,服务器端,php,Java'<!sp>14:34<!sp>拉勾网<!sp>'一日四餐,六险一金,季度奖金,年度奖金'<!sp>'设计能力,专业素质良好,文案能力,主动性,责任心,团队协作能力'<!sp>北京 - 朝阳区 - 望京 - 望京
携程IT<!sp>Python开发工程师<!sp>15k-25k<!sp>上海<!sp>经验3-5年<!sp>'python,云计算,软件开发,运维,OpenStack'<!sp>10:18<!sp>拉勾网<!sp>'跟优秀的团队一起工作'<!sp>'钻研能力,领悟能力,专业素质良好,设计能力,主动性,自我管理能力,责任心,逻辑思维能力,抗压能力,团队协作能力,学习能力,创新能力'<!sp>上海 - 长宁区 - 长征 - 金钟路968号凌空SOHO
微猫研发部<!sp>python<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'Python,电商'<!sp>09:41<!sp>拉勾网<!sp>'牛人引领,不打卡,薪资高,氛围好'<!sp>'服务意识,专业素质良好,常用办公软件的使用,英语基础'<!sp>上海 - 浦东新区 - 张江 - 博霞路22号4F
华云数据<!sp>Python开发工程师<!sp>18k-28k<!sp>上海<!sp>经验3-5年<!sp>'Ruby,云计算,golang,Java'<!sp>09:31<!sp>拉勾网<!sp>'绩效奖金,年终奖金,交通补贴,餐饮补贴'<!sp>'设计能力,文案能力,专业素质良好,服务意识,英语基础,学习能力,团队协作能力'<!sp>上海 - 杨浦区 - 五角场 - 伟成路70号创智天地企业中心1栋9楼
辰运软件技术部<!sp>Python工程师<!sp>10k-15k<!sp>长沙<!sp>经验不限<!sp>'云计算,Python'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年底双薪,交通补助,餐补'<!sp>'责任心,设计能力,钻研能力,团队协作能力'<!sp>长沙市市市 - 岳麓区 - 麓谷 - 尖山路39号中电软件园裙楼2楼
青松大数据<!sp>Python工程师<!sp>12k-20k<!sp>北京<!sp>经验3-5年<!sp>'高级,云计算,Python'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年度旅游,年度旅游,股票期权'<!sp>'服务意识,主动性,设计能力,文案能力,团队协作能力,自我管理能力,沟通表达能力,创新能力'<!sp>北京 - 海淀区 - 中关村 - 中关村鼎好大厦A座2层义创空间15号
贝尔机器人软件产品部<!sp>Python 开发<!sp>15k-30k<!sp>深圳<!sp>经验3-5年<!sp>'Python,后端,PostgreSQL,flask'<!sp>14:00<!sp>拉勾网<!sp>'团队牛人'<!sp>'文案能力,团队协作能力,钻研能力,学习能力'<!sp>深圳市 - 南山区 - 科技园 - 源兴科技大厦南座
