赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
浙江执御信息技术有限公司技术部<!sp>软件测试<!sp>12k-19k<!sp>杭州<!sp>经验3-5年<!sp>'linux,测试,信息安全,Java'<!sp>1天前<!sp>拉勾网<!sp>'平台大,待遇好,美女多'<!sp>'逻辑思维能力,服务意识,专业素质良好,执行能力,钻研能力,主动性,沟通表达能力,抗压能力,设计能力,思想品质,团队协作能力'<!sp>杭州市市市 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
酷家乐研发部<!sp>资深测试/测试专家<!sp>18k-25k<!sp>杭州<!sp>经验5-10年<!sp>'资深,Java,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'期权激励,海外旅游,氛围欢乐,零食水果'<!sp>'设计能力,逻辑思维能力,团队协作能力,服务意识,领悟能力,主动性,钻研能力'<!sp>杭州市市市 - 拱墅区 - 西溪 - 矩阵国际1号楼10-13F
10com技术研发<!sp>测试工程师<!sp>9K-18K<!sp>厦门<!sp>经验3-5年<!sp>'高级,中级,Python,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性工作,扁平管理,红包福利！'<!sp>'逻辑思维能力,执行能力,专业素质良好,文案能力,主动性,思想品质,沟通表达能力,学习能力'<!sp>厦门 - 思明区 - 开元 - 厦禾路189号厦门银行中心2701
家园网<!sp>测试工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'福利好,领导好,团队好,发展空间大'<!sp>'设计能力,文案能力,执行能力,专业素质良好,主动性,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 广渠家园5号楼首东国际A座7层
中储智运技术中心<!sp>高端测试<!sp>12k-24k<!sp>南京<!sp>经验5-10年<!sp>'资深,高级,功能测试,性能测试,安全测试,压力测试'<!sp>2天前<!sp>拉勾网<!sp>'央企背景,自研产品,前景良好'<!sp>'沟通表达能力,逻辑思维能力,团队协作能力,领导能力,设计能力,抗压能力,专业素质良好,思想品质,责任心'<!sp>南京 - 鼓楼区 - 燕江路201号江山汇D座4层
广州李子网络科技有限公司技术部<!sp>测试经理<!sp>10k-15k<!sp>广州<!sp>经验3-5年<!sp>'经理,测试'<!sp>2天前<!sp>拉勾网<!sp>'股票期权,文娱活动,学习型氛围,上升空间'<!sp>'团队协作能力,领导能力,文案能力,执行能力,领悟能力,设计能力,专业素质良好,沟通表达能力'<!sp>广州 - 天河区 - 沙河 - 珠江新城花城大道68号4706
唯品会产品技术中心<!sp>高级/资深测试工程师<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'资深,高级,Java,自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'待遇好,福利好,氛围好'<!sp>'设计能力,执行能力,主动性,钻研能力,抗压能力,责任心,学习能力,沟通表达能力'<!sp>上海 - 闵行区 - 申长路1588弄中骏广场6号楼
众匠，you选产品研发中心——测试部<!sp>高级测试<!sp>15k-20k<!sp>杭州<!sp>经验3-5年<!sp>'资深,高级,python,测试,Java,脚本'<!sp>1天前<!sp>拉勾网<!sp>'各种小福利,弹性工作,活动多多,平台发展大'<!sp>'逻辑思维能力,沟通表达能力,设计能力,专业素质良好,主动性,文案能力,服务意识,思想品质,团队协作能力,创新能力'<!sp>工作地址
家园网<!sp>测试工程师<!sp>10k-15k<!sp>北京<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'福利好,领导好,团队好,发展空间大'<!sp>'设计能力,文案能力,执行能力,专业素质良好,主动性,团队协作能力'<!sp>北京 - 东城区 - 广渠门 - 广渠家园5号楼首东国际A座7层
回收宝研发部<!sp>高级测试工程师<!sp>15k-25k<!sp>深圳<!sp>经验5-10年<!sp>'专家,资深,linux,测试,系统,app'<!sp>1天前<!sp>拉勾网<!sp>'腾讯系团队,行业前景好,工作氛围棒'<!sp>'逻辑思维能力,文案能力,领悟能力,沟通表达能力,工作激情'<!sp>深圳 - 南山区 - 高新南九道威新软件园8栋7楼
云象网络研发部<!sp>测试工程师<!sp>12k-15k<!sp>杭州<!sp>经验1-3年<!sp>'测试,功能测试,性能测试,接口,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年终丰厚,免费工作餐,技术大牛'<!sp>'文案能力,设计能力,执行能力,逻辑思维能力'<!sp>杭州 - 余杭区 - 仓前 - 海创科技中心2幢301
宝尊电商集团创新中心<!sp>高级测试工程师<!sp>14k-22k<!sp>上海<!sp>经验5-10年<!sp>'资深,高级,中级,大数据,自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'大数据,自动化,sql语句'<!sp>'专业素质良好,服务意识,思想品质,主动性,沟通表达能力,学习能力,团队协作能力,抗压能力,设计能力,逻辑思维能力'<!sp>上海 - 闸北区 - 万荣路1268号B栋
韩创科技项目事业部<!sp>测试工程师<!sp>7K-12K<!sp>上海<!sp>经验1-3年<!sp>'中级,初级,产品,测试'<!sp>1天前<!sp>拉勾网<!sp>'机会多,平台大,福利好,团队氛围佳'<!sp>''<!sp>上海 - 浦东新区 - 上南地区 - 尚博创意园东方路3539号2502室(贰号楼301室)
360shop技术部<!sp>测试工程师<!sp>8k-10k<!sp>杭州<!sp>经验1-3年<!sp>'信息安全,测试'<!sp>1天前<!sp>拉勾网<!sp>'年终,调薪,年假,旅游,大牛'<!sp>'文案能力,常用办公软件的使用'<!sp>杭州 - 西湖区 - 古墩路 - 古墩路616号同人精华大厦3座6楼
武汉佰钧成技术有限公司ISBG-BU15<!sp>软件测试-天津<!sp>8k-14k<!sp>天津<!sp>经验3-5年<!sp>'安全测试,信息安全,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,年终旅游'<!sp>'逻辑思维能力,专业素质良好,设计能力,文案能力,执行能力,领导能力'<!sp>天津 - 滨海新区 - 洞庭北路融汇商务园二区四号楼中国人民银行征信中心
湖南创发<!sp>测试工程师<!sp>5k-8k<!sp>南京<!sp>经验3-5年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'加入我们吧,一切皆有可能！'<!sp>'领导能力,文案能力'<!sp>- 张公岭236号天园通信研发楼
八维通科技测试部<!sp>测试经理<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'资深,QA,app,功能测试,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'公司稳定,年轻伙伴多,资金雄厚'<!sp>'文案能力,逻辑思维能力,执行能力,团队协作能力,责任心,专业素质良好,设计能力'<!sp>杭州市市市 - 滨江区 - 长河 - 东冠大厦20层
鑫合汇企业服务事业部<!sp>软件测试<!sp>8k-13k<!sp>杭州<!sp>经验3-5年<!sp>'web,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年底双薪,餐补,交通补贴'<!sp>'设计能力,文案能力,沟通表达能力,责任心,思想品质,执行能力,职业操守'<!sp>杭州 - 拱墅区 - 三墩 - 中国智慧信息产业园
心怡科技桔瓣科技<!sp>中级测试工程师<!sp>12k-18k<!sp>杭州<!sp>经验3-5年<!sp>'测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'互联网,仓配一体化,五险一金'<!sp>'设计能力,执行能力,文案能力,主动性,沟通表达能力,学习能力'<!sp>杭州 - 西湖区 - 西溪 - 西溪路550号西溪新座6幢A座5-11层
中移在线服务有限公司IT系统部<!sp>测试开发<!sp>15k-20k<!sp>郑州<!sp>经验3-5年<!sp>'测试,教育,自动化'<!sp>1天前<!sp>拉勾网<!sp>'企业年金,五险一金,带薪年假,通话餐补'<!sp>'设计能力,执行能力'<!sp>郑州 - 高新区 - 郑州
个推服务端测试工程师<!sp>测试工程师<!sp>10k-15k<!sp>杭州<!sp>经验不限<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'16-18薪,五险一金,带薪年假'<!sp>'设计能力,钻研能力,逻辑思维能力,沟通表达能力,团队协作能力'<!sp>杭州 - 西湖区 - 古墩路 - 西斗门路福地创业园
泛微泛微<!sp>黑盒测试<!sp>6k-8k<!sp>上海<!sp>经验1-3年<!sp>'测试,黑盒'<!sp>1天前<!sp>拉勾网<!sp>'员工旅游,免费三餐,上市公司,年度旅游'<!sp>'设计能力,逻辑思维能力,执行能力,文案能力,思想品质,责任心,学习能力,熟悉法律法规'<!sp>上海市 - 闵行区 - 浦江 - 联航路1188弄浦江智谷33号楼
Rokid产品技术中心<!sp>系统测试工程师／专家<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'资深,自动化,测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'顶尖团队,人工智能,淡马锡领投,挑战大'<!sp>'服务意识,专业素质良好,钻研能力,逻辑思维能力,执行能力,领悟能力,设计能力,领导能力,抗压能力,沟通表达能力'<!sp>杭州 - 余杭区 - 西溪创立方b幢4楼
唯品会产品技术中心<!sp>高级/资深测试工程师<!sp>18k-35k<!sp>广州<!sp>经验3-5年<!sp>'资深,高级,Java,自动化,测试,电商'<!sp>1天前<!sp>拉勾网<!sp>'待遇好,福利好,氛围好'<!sp>'专业素质良好,设计能力,执行能力,逻辑思维能力,沟通表达能力,学习能力'<!sp>广州 - 荔湾区 - 白鹅潭 - 花海街20号
北京盛安德上海分公司<!sp>软件测试工程师<!sp>10k-15k<!sp>苏州<!sp>经验5-10年<!sp>'Dynamics,linux,SQLServer,SharePoint,测试,软件测试'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作不打卡,阿里云项目'<!sp>'英语基础'<!sp>苏州 - 吴江区 - 独墅湖 - 集贤街88号益新大厦607b室
央金所（杭州）科技有限公司产品技术部<!sp>测试工程师<!sp>12k-18k<!sp>杭州<!sp>经验3-5年<!sp>'金融,测试,功能测试,性能测试,安全测试'<!sp>1天前<!sp>拉勾网<!sp>'团队氛围好,福利好,加班少,妹子多'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,责任心,沟通表达能力,团队协作能力,思想品质'<!sp>杭州 - 拱墅区 - 三墩 - 祥园路88号智慧信息产业园4号楼12层
CC work 织语技术部<!sp>测试<!sp>10k-15k<!sp>上海<!sp>经验5-10年<!sp>'测试,功能测试'<!sp>1天前<!sp>拉勾网<!sp>'美女多,领导好,弹性工作,绩效奖金'<!sp>'领悟能力,专业素质良好,文案能力'<!sp>上海 - 普陀区 - 曹杨 - 宁夏路627号4号楼405室
首格网络杭州研发中心<!sp>测试工程师<!sp>8k-12k<!sp>杭州<!sp>经验3-5年<!sp>'web,Python,自动化,测试,app,编程经验'<!sp>1天前<!sp>拉勾网<!sp>'双休,带薪假期,餐补,弹性工作'<!sp>'逻辑思维能力,文案能力,执行能力,领悟能力,学习能力,专业素质良好,沟通表达能力,自我管理能力'<!sp>杭州 - 西湖区 - 文一路115号 实验楼4F
七麦科技技术部<!sp>测试工程师<!sp>6k-12k<!sp>北京<!sp>经验1-3年<!sp>'python,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'上市公司,福利好,待遇好,扁平化管理'<!sp>'设计能力,执行能力,团队协作能力,文案能力,逻辑思维能力,专业素质良好,学习能力,责任心,沟通表达能力'<!sp>北京 - 海淀区 - 中关村 - 中关村南大街数码大厦B座12层
前海易物技术中心<!sp>测试工程师<!sp>4k-8k<!sp>广州<!sp>经验1-3年<!sp>'Java,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,定期体检,节日福利'<!sp>'领悟能力,设计能力,文案能力,服务意识'<!sp>广州市 - 海珠区 - 琶洲 - 新港东路1000号保利世贸中心C座2010-2011室
深睿医疗研发<!sp>测试工程师<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'自动化,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'大牛,人性化管理,靠谱团队,技术氛围好'<!sp>'逻辑思维能力,设计能力,文案能力,专业素质良好,主动性,责任心,沟通表达能力,性格好,团队协作能力'<!sp>工作地址
汇金智融测试中心<!sp>测试工程师<!sp>7k-14k<!sp>杭州<!sp>经验1-3年<!sp>'linux,oracle,测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'金融,银行,股权激励,上市公司'<!sp>'良好的职业背景,专业素质良好,领导能力,设计能力,团队协作能力,学习能力,工作激情,沟通表达能力'<!sp>杭州 - 滨江区 - 江南 - 高新产业大楼
欢乐逛测试部门<!sp>测试工程师<!sp>6k-12k<!sp>厦门<!sp>经验1-3年<!sp>'中级,初级,测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'福利多多,年度出国游,发展多多,六险一金'<!sp>'设计能力,文案能力,执行能力,主动性,沟通表达能力,逻辑思维能力,责任心,钻研能力,学习能力'<!sp>厦门 - 思明区 - 前埔医院 - 观音山康利金融大厦5楼
浙江执御信息技术有限公司技术部门<!sp>app测试<!sp>12k-24k<!sp>杭州<!sp>经验3-5年<!sp>'自动化,白盒,app,功能测试,性能测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间,技术大牛,年终奖金,年度旅游'<!sp>'专业素质良好,逻辑思维能力,文案能力,执行能力,团队协作能力'<!sp>杭州市市市 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
上海善林金融信息服务有限公司<!sp>测试工程师<!sp>7k-14k<!sp>上海<!sp>经验1-3年<!sp>'游戏,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'领导好,平台大'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,专业素质良好,思想品质,沟通表达能力'<!sp>上海 - 静安区 - 共和新路 - 上海市静安区江场路1313号金谷中环大厦
纳里健康研发部<!sp>测试工程师<!sp>7k-14k<!sp>杭州<!sp>经验1-3年<!sp>'信息安全,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,绩效奖金,成长机会,节日福利'<!sp>'设计能力,执行能力,逻辑思维能力,沟通表达能力,团队协作能力,专业素质良好'<!sp>杭州 - 滨江区 - 开发区 - 江南大道3688号潮人汇9楼
灵雀云研发<!sp>测试工程师<!sp>6k-8k<!sp>南京<!sp>经验1年以下<!sp>'测试,Android,Java'<!sp>2天前<!sp>拉勾网<!sp>'项目靠谱,资金充足,团队顶级,技术领先'<!sp>'文案能力,设计能力,专业素质良好,团队协作能力,服务意识,抗压能力'<!sp>南京市市市 - 建邺区 - 江东 - 华泰
上海傲梦网络科技有限公司技术部<!sp>测试专员<!sp>8k-15k<!sp>上海<!sp>经验3-5年<!sp>'测试,Java,脚本,自动化'<!sp>2天前<!sp>拉勾网<!sp>'弹性工作'<!sp>'逻辑思维能力,设计能力,领悟能力,执行能力,专业素质良好,文案能力,服务意识,沟通表达能力,团队协作能力,学习能力'<!sp>上海 - 长宁区 - 北新泾 - 长宁区金钟路633号晨讯科技大厦B栋5楼(福泉路金钟路)
北京盛安德上海分公司<!sp>云测试工程师<!sp>10k-15k<!sp>杭州<!sp>经验3-5年<!sp>'测试,软件测试,信息安全,OpenStack'<!sp>1天前<!sp>拉勾网<!sp>'阿里巴巴办公,阿里云测试项目,薪资福利优'<!sp>'良好的职业背景'<!sp>杭州 - 西湖区 - 云栖小镇
蘑菇租房<!sp>高级测试工程师<!sp>15k-25k<!sp>上海<!sp>经验5-10年<!sp>'高级,测试,功能测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'福利好,团队优秀'<!sp>'逻辑思维能力,设计能力,执行能力,团队协作能力,钻研能力'<!sp>上海 - 静安区 - 新闸路 - 江宁路212弄凯迪克大厦16楼
驰骛科技ChiefClouds技术部<!sp>测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'大数据,测试'<!sp>1天前<!sp>拉勾网<!sp>'公司快速发展,成长空间大,同事是大牛'<!sp>'专业素质良好,逻辑思维能力,文案能力,沟通表达能力,团队协作能力,主动性,抗压能力,思想品质'<!sp>上海 - 徐汇区 - 漕河泾 - 宜山路900号B座
杭州高锦技术部<!sp>高级测试工程师<!sp>15k-20k<!sp>杭州<!sp>经验5-10年<!sp>'高级,自动化,白盒,性能测试,安全测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'管理扁平,氛围好,物联网,环境好'<!sp>'逻辑思维能力,执行能力,团队协作能力,专业素质良好,文案能力,抗压能力,责任心,性格好'<!sp>杭州 - 下沙 - 下沙 - 和茂大厦
丁香园技术产品部<!sp>测试工程师<!sp>8k-16k<!sp>杭州<!sp>经验1-3年<!sp>'测试'<!sp>1天前<!sp>拉勾网<!sp>'发展空间大'<!sp>'逻辑思维能力,文案能力,执行能力,设计能力,抗压能力,专业素质良好,沟通表达能力,主动性,责任心,性格好,团队协作能力'<!sp>杭州市市市 - 滨江区 - 长河 - 江虹路 611 号上峰电商产业园3号楼3楼
开始吧产品技术部<!sp>测试工程师<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'高级,中级,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'双休,弹性时间,五险一金,环境舒适'<!sp>'逻辑思维能力,设计能力,专业素质良好,执行能力,团队协作能力'<!sp>杭州 - 余杭区 - 仓前 - 文一西路1288号海创科技中心4幢15楼
动景集团星视度科技<!sp>测试工程师<!sp>8k-15k<!sp>上海<!sp>经验3-5年<!sp>'QA,测试'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,交通补贴,午餐补贴,节日福利'<!sp>'领悟能力,沟通表达能力,设计能力,文案能力,思想品质,团队协作能力'<!sp>上海 - 浦东新区 - 八佰伴 - 浦东南路1118号10层
仟金顶技术部<!sp>测试工程师<!sp>8k-15k<!sp>杭州<!sp>经验1-3年<!sp>'高级,web,Python,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,商业保险,年终奖,子女福利佳'<!sp>'设计能力,执行能力,逻辑思维能力,专业素质良好,沟通表达能力,学习能力'<!sp>杭州市 - 滨江区 - 长河 - 秋溢路289号（绿城电商体验馆5楼）
大搜车测试部<!sp>测试工程师<!sp>8k-15k<!sp>杭州<!sp>经验1-3年<!sp>'linux,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'弹性工作,技术分享,技术大牛'<!sp>'文案能力,主动性,设计能力,思想品质,团队协作能力'<!sp>杭州 - 余杭区 - 五常大道175号
GET技术部<!sp>测试工程师<!sp>10k-20k<!sp>上海<!sp>经验1-3年<!sp>'QA,移动端,app,功能测试,性能测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'二次创业,自由度高,挑战性强,团队氛围好'<!sp>'领悟能力,设计能力,逻辑思维能力,抗压能力,沟通表达能力,团队协作能力'<!sp>上海 - 普陀区 - 长风公园 - 凯旋北路1305号
武汉佰钧成技术有限公司项目部<!sp>对日测试<!sp>6k-10k<!sp>上海<!sp>经验1-3年<!sp>'中级,初级,功能测试,性能测试,Java,测试'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,周末双休,带薪年假,福利待遇好'<!sp>'文案能力,执行能力,领悟能力,主动性,沟通表达能力,团队协作能力,学习能力,日语基础,思想品质'<!sp>上海市 - 杨浦区 - 江湾 - 政立路477号IBM1栋
英万公司项目部<!sp>测试工程师<!sp>5k-10k<!sp>天津<!sp>经验1-3年<!sp>'web,测试,app,功能测试,性能测试,安全测试'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,五险一金,双休'<!sp>'文案能力,执行能力,抗压能力,工作激情,责任心'<!sp>天津 - 南开区 - 王顶堤 - 海泰信息广场
TCL金融控股集团<!sp>测试工程师<!sp>10k-15k<!sp>惠州<!sp>经验1-3年<!sp>'金融,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'福利待遇佳'<!sp>'设计能力,文案能力,领导能力,执行能力,沟通表达能力'<!sp>惠州 - 惠城区 - 广东省惠州市仲恺高新区惠风三路17号TCL科技大厦21楼
杭州施强教育科技有限公司技术中心<!sp>测试专家<!sp>20k-30k<!sp>杭州<!sp>经验5-10年<!sp>'专家,web,app,性能测试,测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'项目奖金,节日福利,周末双休'<!sp>'设计能力,创新能力,团队协作能力,钻研能力,专业素质良好,逻辑思维能力,学习能力'<!sp>杭州 - 滨江区 - 开发区 - 滨兴路1451号(春波路建业路口) 华盛达广场20楼
百得思维项目部<!sp>测试工程师<!sp>7K-14K<!sp>合肥<!sp>经验1-3年<!sp>'测试,白盒,黑盒,硬件,性能测试'<!sp>2天前<!sp>拉勾网<!sp>'五险一金,免费班车,双休,保底14薪'<!sp>'设计能力,文案能力,逻辑思维能力,执行能力,主动性,沟通表达能力,钻研能力,抗压能力,责任心'<!sp>合肥 - 高新区 - - 望江西路666号讯飞大厦
达庆网络软件开发部<!sp>测试工程师<!sp>8K-15K<!sp>东莞<!sp>经验3-5年<!sp>'QA,测试,Java,自动化'<!sp>3天前<!sp>拉勾网<!sp>'年终奖,员工旅游,带薪年假'<!sp>'专业素质良好,逻辑思维能力,主动性,责任心,沟通表达能力,学习能力,团队协作能力,思想品质,文案能力,设计能力,执行能力,领悟能力,上进心'<!sp>东莞市市市 - [] - 三元里 - 南城区三元里社区财津商务大厦2楼205号
苏州锦佰安研发部<!sp>测试工程师<!sp>6k-10k<!sp>苏州<!sp>经验1-3年<!sp>'初级,自动化,app,Java,测试'<!sp>3天前<!sp>拉勾网<!sp>'人工智能,前景广阔,福利齐全,技术领先'<!sp>'领悟能力,逻辑思维能力,团队协作能力,责任心,设计能力,文案能力'<!sp>苏州 - 工业园区 - 独墅湖 - 新平街388号腾飞创新园21幢1205
叮咚钱包技术研发部<!sp>测试工程师<!sp>6k-10k<!sp>厦门<!sp>经验3-5年<!sp>'金融,测试'<!sp>3天前<!sp>拉勾网<!sp>'项目奖金,员工生日会,部门活动,节日福利'<!sp>'文案能力,执行能力,逻辑思维能力,设计能力'<!sp>厦门 - 思明区 - 前埔医院 - 观音山南投路11号荣鑫盛运营中心15楼
保拍网技术部<!sp>测试<!sp>9k-12k<!sp>上海<!sp>经验3-5年<!sp>'中级,Java,Python,自动化,测试,系统'<!sp>1天前<!sp>拉勾网<!sp>'专业团队,加班少'<!sp>'文案能力,专业素质良好,逻辑思维能力,沟通表达能力,学习能力,思想品质,吃苦耐劳,责任心,职业操守'<!sp>上海 - 浦东新区 - 金桥 - 新金桥路1599号东方万国企业中心
琥珀天气测试部<!sp>测试工程师<!sp>10k-20k<!sp>北京<!sp>经验1-3年<!sp>'测试,自动化'<!sp>1天前<!sp>拉勾网<!sp>'晋升空间'<!sp>'文案能力,执行能力,团队协作能力,领悟能力'<!sp>北京 - 朝阳区 - 北苑 - 北苑中国铁建广场B座
黄金钱包研发部<!sp>测试工程师<!sp>12k-20k<!sp>北京<!sp>经验1-3年<!sp>'中级,Java,自动化,测试,白盒,脚本'<!sp>1天前<!sp>拉勾网<!sp>'15薪,全明星投资,带薪年假,发展空间大'<!sp>'设计能力,文案能力,执行能力,沟通表达能力,专业素质良好,逻辑思维能力,责任心'<!sp>北京 - 朝阳区 - 望京 - 望京宏泰东街浦项中心B座17层
探迹研发部<!sp>测试主管<!sp>10k-20k<!sp>广州<!sp>经验5-10年<!sp>'专家,资深,高级,自动化,白盒,黑盒'<!sp>1天前<!sp>拉勾网<!sp>'团队精良'<!sp>''<!sp>广州 - 番禺区 - 大学城 - 数字家庭研发中心一期研发大厦
重庆盘古美天物联网科技有限公司测试部<!sp>测试工程师<!sp>8k-15k<!sp>重庆<!sp>经验3-5年<!sp>'QA,测试,自动化'<!sp>2天前<!sp>拉勾网<!sp>'福利好,五险,年终奖,免费午餐'<!sp>'设计能力,逻辑思维能力,执行能力,专业素质良好,文案能力'<!sp>重庆 - 江北区 - 五里店 - 江北嘴金融城A座21楼
新蛋信息技术（中国）有限公司软件研发<!sp>测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'web,自动化测试,SQL,Java,测试,电商网站'<!sp>2天前<!sp>拉勾网<!sp>'好团队好领导,培训完整,大架构电商'<!sp>'逻辑思维能力,设计能力,领悟能力,执行能力,英语基础,沟通表达能力,团队协作能力,学习能力,思想品质'<!sp>上海 - 静安区 - 曹家渡 - 万航渡路888号19楼
天天爱车天天爱车<!sp>软件测试<!sp>6K-12K<!sp>合肥<!sp>经验3-5年<!sp>'自动化,测试,功能测试,性能测试,安全测试,压力测试'<!sp>2天前<!sp>拉勾网<!sp>'最重视测试岗位的互联网公司'<!sp>'设计能力,文案能力,执行能力,专业素质良好,责任心,沟通表达能力,逻辑思维能力'<!sp>合肥 - 蜀山区 - 望江路 - 望江西路西湖国际广场D座7F
魔蝎科技数据研发部<!sp>测试主管<!sp>10k-20k<!sp>杭州<!sp>经验3-5年<!sp>'高级,金融,测试'<!sp>3天前<!sp>拉勾网<!sp>'做五休二,年底多薪,节日福利,五险一金'<!sp>'团队协作能力,执行能力,领导能力,专业素质良好,抗压能力,责任心,沟通表达能力'<!sp>杭州 - 西湖区 - 西溪 - 文一西路767号绿城西溪国际D座2F
舟恩信息项目组<!sp>测试<!sp>7k-13k<!sp>上海<!sp>经验3-5年<!sp>'测试,Java,脚本'<!sp>2018-01-18<!sp>拉勾网<!sp>'五险一金,做五休二,节日福利,13薪'<!sp>'专业素质良好,领悟能力,逻辑思维能力,文案能力,抗压能力,责任心,沟通表达能力,学习能力,团队协作能力'<!sp>上海 - 徐汇区 - 斜土路 - 龙华中路地铁站
乐刻运动研发部<!sp>测试开发工程师<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'资深,QA,测试,黑盒,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,弹性时间,年终绩效,期权激励'<!sp>'设计能力,逻辑思维能力,执行能力,创新能力,专业素质良好,文案能力,领悟能力,抗压能力,沟通表达能力,学习能力,应变能力,团队协作能力'<!sp>杭州 - 西湖区 - 西溪 - 杭州市西湖区庆隆路9号翠苑创立方B座302室
瞬联软件科技（北京）有限公司R&D<!sp>软件测试工程师<!sp>10k-15k<!sp>上海<!sp>经验1-3年<!sp>'python,Ruby,自动化,linux,测试,脚本'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,带薪年假,弹性工作,氛围自由'<!sp>''<!sp>上海 - 长宁区 - 北新泾 - 天山西路1068号（地铁2号线淞虹路站5号口出）
允升科技技术产品部<!sp>测试工程师<!sp>7k-14k<!sp>重庆<!sp>经验3-5年<!sp>'python,自动化,系统,性能测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'大牛带队,快速成长,技术氛围好,福利完善'<!sp>'文案能力,团队协作能力,逻辑思维能力'<!sp>重庆 - 大渡口区 - 八桥 - 思源路32号云谷总部基地4号楼
上上签开发部<!sp>测试开发工程师<!sp>15k-20k<!sp>杭州<!sp>经验3-5年<!sp>'企业服务,中级,自动化,测试'<!sp>1天前<!sp>拉勾网<!sp>'测试开发'<!sp>''<!sp>杭州 - 西湖区 - 万塘路317号华星世纪大楼2楼
信达天下研发部<!sp>测试工程师<!sp>7k-14k<!sp>长沙<!sp>经验3-5年<!sp>'金融,自动化,性能测试,Java,医疗健康'<!sp>1天前<!sp>拉勾网<!sp>'带薪年假,补充医疗,全额公积金,交通补助'<!sp>'设计能力,文案能力,逻辑思维能力,领悟能力,责任心,沟通表达能力,思想品质,团队协作能力,上进心,学习能力,服务意识'<!sp>长沙 - 天心区 - 劳动西路 - 卡瑞尔大厦
江苏亿科达海万信息科技<!sp>软件测试工程师<!sp>10k-15k<!sp>上海<!sp>经验3-5年<!sp>'金融,支付,linux,测试,脚本,电商'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,年终奖,体检旅游,过节费'<!sp>'领悟能力,常用办公软件的使用'<!sp>上海 - 徐汇区 - 斜土路 - 凯滨路206号
