赢时胜软件深圳市赢时胜信息技术股份有限公司<!sp>白盒测试<!sp>10k-15k<!sp>长沙<!sp>经验3-5年<!sp>'后端开发'<!sp>1天前<!sp>拉勾网<!sp>'优秀团队,带薪年假'<!sp>'文案能力'<!sp>长沙市 - 芙蓉区 - 十六铺 - 长沙
舟恩信息技术服务部<!sp>测试<!sp>8k-12k<!sp>上海<!sp>经验1-3年<!sp>'测试,功能测试,Java,脚本'<!sp>2天前<!sp>拉勾网<!sp>'大型项目,专业团队'<!sp>'设计能力,文案能力,逻辑思维能力,领悟能力,沟通表达能力,主动性,抗压能力,性格好,专业素质良好'<!sp>上海 - 徐汇区 - 桂林路
江融信大数据集成部<!sp>测试工程师<!sp>6k-8k<!sp>佛山<!sp>经验1-3年<!sp>'游戏,测试,Java'<!sp>1天前<!sp>拉勾网<!sp>'年终奖,周末双休,带薪年假,五险一金'<!sp>'文案能力,逻辑思维能力,设计能力,沟通表达能力,团队协作能力,专业素质良好'<!sp>佛山 - 南海区 - 桂城 - 佛山南海区灯湖东路6号广发银行金融高新区内
视达科测试三部<!sp>测试工程师<!sp>4k-5k<!sp>贵阳<!sp>经验1-3年<!sp>'python,linux,测试,信息安全,Java'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,定期体检,弹性工作,期权激励'<!sp>'学习能力,服务意识,责任心,创新能力,专业素质良好'<!sp>贵阳 - 观山湖区（金阳新区） - 金阳新区金阳南路36号
云账户技术部<!sp>测试工程师<!sp>15k-22k<!sp>北京<!sp>经验3-5年<!sp>'高级,中级,金融,测试,功能测试,信息安全'<!sp>1天前<!sp>拉勾网<!sp>'牛人共事,工程师文化,福利待遇好'<!sp>'设计能力,文案能力,执行能力,抗压能力,服务意识,思想品质,团队协作能力,专业素质良好'<!sp>北京 - 朝阳区 - 望京 - 望京soho塔T1A座2005室
浙江执御信息技术有限公司技术<!sp>软件测试<!sp>10k-20k<!sp>杭州<!sp>经验不限<!sp>'python,信息安全,测试,脚本,电商,自动化'<!sp>1天前<!sp>拉勾网<!sp>'升职加薪,扁平管理,年终奖金,旅游活动'<!sp>'逻辑思维能力,设计能力,执行能力,创新能力,团队协作能力,主动性,钻研能力,文案能力'<!sp>杭州市市市 - 拱墅区 - 三墩 - 祥茂路2号影天印业园区1幢3楼
德惟科技数据<!sp>测试工程师<!sp>10k-15k<!sp>天津<!sp>经验3-5年<!sp>'SQL,测试,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'交通便利,90后团队,技术牛人多'<!sp>'设计能力,文案能力,逻辑思维能力,沟通表达能力,思想品质,责任心'<!sp>天津 - 河西区 - 平安大厦A座(马场道)
Caicloud研发部<!sp>测试工程师<!sp>6k-10k<!sp>杭州<!sp>经验1-3年<!sp>'初级,web,大数据,自动化,测试,功能测试'<!sp>1天前<!sp>拉勾网<!sp>'谷歌团队,技术大牛,福利多多'<!sp>'英语基础,逻辑思维能力,沟通表达能力,主动性,思想品质,吃苦耐劳,团队协作能力'<!sp>杭州 - 滨江区 - 浦沿 - 六和路368号海创基地北楼B3082
车满满研发中心<!sp>深测试工程师<!sp>10k-18k<!sp>济南<!sp>经验3-5年<!sp>'自动化,QA,Java,测试'<!sp>1天前<!sp>拉勾网<!sp>'六险一金,发展空间大'<!sp>'逻辑思维能力,设计能力,文案能力,执行能力,沟通表达能力,思想品质,责任心,上进心,团队协作能力'<!sp>济南 - 高新区 - 舜泰广场2号楼
百得思维测试部<!sp>测试工程师<!sp>7k-12k<!sp>合肥<!sp>经验3-5年<!sp>'白盒,测试,脚本,自动化'<!sp>2天前<!sp>拉勾网<!sp>'2-5年终,五险一金,餐补食堂,班车油补'<!sp>'领悟能力,专业素质良好,设计能力,执行能力,逻辑思维能力,沟通表达能力'<!sp>合肥 - 高新区 - 讯飞大厦
海能达测试部<!sp>性能测试工程师<!sp>8k-15k<!sp>哈尔滨<!sp>经验5-10年<!sp>'高级,自动化,linux,测试,白盒,性能测试'<!sp>1天前<!sp>拉勾网<!sp>'性能测试,C/C++'<!sp>'设计能力,文案能力,执行能力,专业素质良好'<!sp>哈尔滨 - 松北区 - 世茂大道 - 天翔街188号【哈尔滨市政府西侧】
飞博共创研发中心<!sp>测试工程师<!sp>3k-6k<!sp>厦门<!sp>经验不限<!sp>'功能测试,性能测试,测试'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,有爱团队,功能测试,有趣的项目'<!sp>'专业素质良好,文案能力,执行能力,逻辑思维能力,主动性,沟通表达能力,责任心,思想品质,学习能力,抗压能力'<!sp>厦门 - 思明区 - 前埔医院 - 软件园 软件园二期观日路46号4层
艾融股份广州软件中心<!sp>测试工程师<!sp>10k-14k<!sp>厦门<!sp>经验3-5年<!sp>'白盒,黑盒,信息安全,测试,脚本,自动化'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,住房补贴,餐补'<!sp>'抗压能力,文案能力,主动性,沟通表达能力,学习能力'<!sp>厦门 - 湖里区 - 高新技术园
