武汉物易云通网络科技清结算部<!sp>清结算专员<!sp>3k-4k<!sp>武汉<!sp>经验1-3年<!sp>'结算'<!sp>09:29<!sp>拉勾网<!sp>'五险一金'<!sp>'学习能力,执行能力,责任心,沟通表达能力,团队协作能力'<!sp>武汉 - 武昌区 - 中北路 - 汉街总部国际C座8楼
孩子王<!sp>产品经理-财务/结算方向<!sp>15k-25k<!sp>南京<!sp>经验3-5年<!sp>'结算,产品,财务,产品经理,电商'<!sp>1天前<!sp>拉勾网<!sp>'母婴大咖,团队氛围非常好'<!sp>'团队协作能力,逻辑思维能力,设计能力,良好的职业背景,抗压能力,领导能力,自我管理能力,沟通表达能力,执行能力,学习能力,工作激情'<!sp>南京 - 玄武区 - 瑞金路 - 中山东路311-2号五星控股大厦
INK 银客集团简理财事业部<!sp>结算经理<!sp>10k-20k<!sp>北京<!sp>经验5-10年<!sp>'金融,支付,银行,经理,资产,财务'<!sp>1天前<!sp>拉勾网<!sp>'七险一金,绩效奖金,员工福利,弹性工作'<!sp>'设计能力,沟通表达能力,团队协作能力,领导能力,亲和力,服务意识,抗压能力'<!sp>北京 - 海淀区 - 西三旗 - 西小口东升科技园北领地B6号楼A座10层 简理财
宜信财务部与结算中心<!sp>结算专员<!sp>5k-7k<!sp>北京<!sp>经验1-3年<!sp>'金融,银行,风控,结算,融资'<!sp>2天前<!sp>拉勾网<!sp>'六险一金,年终奖金,弹性办公'<!sp>'熟悉法律法规,执行能力,思想品质,性格好,团队协作能力,常用办公软件的使用'<!sp>北京 - 朝阳区 - 华贸 - 西大望路1号温特莱中心
小米小米网<!sp>结算专员<!sp>5k-10k<!sp>北京<!sp>经验1-3年<!sp>'支付,审核,统计,结算,数据分析,财务'<!sp>1天前<!sp>拉勾网<!sp>'大平台,高发展前景,免费手机'<!sp>'专业素质良好,责任心,思想品质,抗压能力,沟通表达能力,常用办公软件的使用'<!sp>北京 - 海淀区 - 清河 - 清河中街58号毛纺路3号院 小米总参办公楼
中国邮政电子商务运营中心运营部<!sp>支付结算岗<!sp>8k-10k<!sp>东莞<!sp>经验不限<!sp>'数据,金融,支付,财务,电商'<!sp>2018-01-11<!sp>拉勾网<!sp>'支付结算'<!sp>'设计能力,主动性,思想品质,逻辑思维能力,抗压能力,责任心,团队协作能力,能出差'<!sp>东莞 - 东莞市市辖区 - 南城区三元路6号邮政大楼
便利蜂财务部<!sp>结算总监<!sp>18k-35k<!sp>北京<!sp>经验5-10年<!sp>'总监,供应链,结算,财务,电商,物流'<!sp>2017-12-29<!sp>拉勾网<!sp>'14薪资,新零售翘楚,零售人才,机会与平台'<!sp>'领导能力'<!sp>北京 - 朝阳区 - 太阳宫 - 太阳宫中路12号冠城大厦10层
懂球帝懂球帝<!sp>结算专员<!sp>6k-8k<!sp>北京<!sp>经验1-3年<!sp>'金融,审核,结算,财务'<!sp>1天前<!sp>拉勾网<!sp>'五险一金,补充医疗,任性团建,带薪年假'<!sp>'沟通表达能力,常用办公软件的使用,逻辑思维能力,责任心'<!sp>北京 - 海淀区 - 锦秋国际大厦
太合音乐（百度音乐）内容拓展部<!sp>授权结算<!sp>4k-8k<!sp>北京<!sp>经验1-3年<!sp>'音乐,数据,运营,审核,信息,专员'<!sp>2018-01-22<!sp>拉勾网<!sp>'海量内容,全球音乐,名人大咖'<!sp>'逻辑思维能力,沟通表达能力,思想品质'<!sp>北京 - 朝阳区 - 三里屯 - 三里屯西五街5号院
美利金融集团财务管理中心<!sp>结算专员<!sp>6k-8k<!sp>北京<!sp>经验1-3年<!sp>'支付,结算'<!sp>2018-01-21<!sp>拉勾网<!sp>'五险一金,绩效奖金,5A环境,氛围融洽'<!sp>'沟通表达能力,抗压能力,工作激情,应变能力'<!sp>北京 - 朝阳区 - 望京 - 望京绿地中心中国锦20层
我来贷WeLab财务管理中心<!sp>资金结算<!sp>5k-10k<!sp>深圳<!sp>经验3-5年<!sp>'支付,审核,风控,结算,财务'<!sp>2018-01-22<!sp>拉勾网<!sp>'股票期权,五险一金,年底双薪,绩效奖金'<!sp>'思想品质,抗压能力,责任心,学习能力,沟通表达能力,常用办公软件的使用'<!sp>深圳 - 南山区 - 后海 - 科苑南路（深圳湾段）3331号阿里巴巴大厦T2座
