达观数据技术部<!sp>个性化推荐工程师<!sp>18k-30k<!sp>上海<!sp>经验1-3年<!sp>'中级,初级,算法,机器学习,推荐,大数据'<!sp>10:00<!sp>拉勾网<!sp>'BAT骨干,技术发展大,薪资福利佳,优秀项目多'<!sp>'逻辑思维能力,钻研能力,学习能力,良好的职业背景,专业素质良好,主动性,自我管理能力'<!sp>上海 - 浦东新区 - 张江 - 亮秀路112号Y1座
网贤数据<!sp>推荐/机器学习高级工程师<!sp>25K-50K<!sp>北京<!sp>经验3-5年<!sp>'hadoop,算法,深度学习'<!sp>2018-01-20<!sp>拉勾网<!sp>'C++六轮融资,全球注册用户4000万'<!sp>'逻辑思维能力,学习能力'<!sp>北京 - 朝阳区 - 大望路 - 百子湾路
房多多<!sp>搜索和推荐系统工程师<!sp>20k-30k<!sp>上海<!sp>经验3-5年<!sp>'总监,高级,数据分析,搜索,数据挖掘,自然语言处理'<!sp>08:51<!sp>拉勾网<!sp>'待遇好,平台好,发展广阔,扁平管理'<!sp>'逻辑思维能力,服务意识,设计能力,团队协作能力,专业素质良好,学习能力'<!sp>上海 - 闸北区 - 闸北公园 - 广中西路757号多媒体大厦
腾讯QQ音乐业务线<!sp>推荐算法工程师<!sp>25k-35k<!sp>深圳<!sp>经验3-5年<!sp>'音乐,算法,推荐,数据挖掘'<!sp>18:19<!sp>拉勾网<!sp>'优秀平台'<!sp>'设计能力,逻辑思维能力,专业素质良好,抗压能力,沟通表达能力'<!sp>深圳 - 南山区 - 科技园 - 万利达大厦
陌陌大数据部<!sp>高级推荐系统开发工程师<!sp>20k-40k<!sp>北京<!sp>经验3-5年<!sp>'广告营销,高级,Java,spark,hadoop,架构'<!sp>10:54<!sp>拉勾网<!sp>'核心团队'<!sp>'设计能力,逻辑思维能力,学习能力,专业素质良好,团队协作能力,抗压能力,沟通表达能力'<!sp>北京 - 朝阳区 - 望京 - 阜通东大街1号望京Soho塔2,B座20层
航仕科技算法中心<!sp>推荐算法工程师/推荐算法专家<!sp>30k-50k<!sp>广州<!sp>经验3-5年<!sp>'直播,算法,机器学习,深度学习,推荐,视频'<!sp>13:48<!sp>拉勾网<!sp>'BAT大牛,加班少,保底18月,福利超好'<!sp>'学习能力,逻辑思维能力'<!sp>广州 - 天河区 - 东圃 - 天河区黄埔大道中309-315号
东方头条数据分析技术部<!sp>推荐系统-产品经理<!sp>15k-25k<!sp>上海<!sp>经验1-3年<!sp>'媒体,数据,产品设计,用户研究,产品经理,视频'<!sp>19:11<!sp>拉勾网<!sp>'打球活动,调薪机会多,员工早餐,18年上市'<!sp>'设计能力,创新能力,逻辑思维能力,领导能力,沟通表达能力,抗压能力,责任心,团队协作能力'<!sp>上海 - 浦东新区 - 张江 - 盛夏路666号E栋4楼
车点点技术研发部<!sp>推荐算法工程师<!sp>15k-25k<!sp>杭州<!sp>经验3-5年<!sp>'算法,汽车,推荐'<!sp>09:44<!sp>拉勾网<!sp>'高速发展公司,福利齐全,扁平管理'<!sp>'逻辑思维能力,服务意识'<!sp>杭州 - 西湖区 - 西溪 - 天目山路398号尚坤大厦2F215-217
准动网络科技研发部<!sp>推荐算法工程师<!sp>10k-20k<!sp>厦门<!sp>经验不限<!sp>'算法,软件开发,机器学习,数据挖掘'<!sp>10:21<!sp>拉勾网<!sp>'弹性工作,包吃,五险一金,晋升空间'<!sp>'专业素质良好,逻辑思维能力,设计能力,学习能力'<!sp>厦门 - 思明区 - 中航紫金广场A塔36层
小红书技术部门<!sp>推荐系统工程师<!sp>20k-40k<!sp>上海<!sp>经验不限<!sp>'广告营销,python,算法,机器学习,大数据,数据挖掘'<!sp>09:20<!sp>拉勾网<!sp>'团队,三餐,多薪,福利'<!sp>'领悟能力,学习能力,专业素质良好,逻辑思维能力'<!sp>上海市 - 黄浦区 - 新天地 - 马当路388号SOHO复兴广场D座
Soul App技术部<!sp>推荐算法工程师<!sp>20K-30K<!sp>上海<!sp>经验3-5年<!sp>'广告营销,专家,算法,机器学习,数据挖掘,自然语言处理'<!sp>10:06<!sp>拉勾网<!sp>'高薪资,股权激励'<!sp>'逻辑思维能力,专业素质良好,服务意识,学习能力,沟通表达能力'<!sp>上海 - 青浦区 - 徐泾 - 虹桥世界中心
最右技术部<!sp>推荐算法工程师<!sp>20k-40k<!sp>北京<!sp>经验1-3年<!sp>'文化娱乐,搜索,算法,数据挖掘,机器学习,推荐'<!sp>1天前<!sp>拉勾网<!sp>'成长空间大,高薪高股,大牛云集,不打卡'<!sp>'领悟能力,学习能力,逻辑思维能力,钻研能力,专业素质良好,沟通表达能力'<!sp>北京 - 海淀区 - 学院路 - 泰兴大厦407
久邦GOMOGA0-大数据团队<!sp>推荐算法工程师<!sp>20k-40k<!sp>广州<!sp>经验3-5年<!sp>'算法,推荐,人工智能,大数据,机器学习,数据挖掘'<!sp>10:42<!sp>拉勾网<!sp>'新项目,机会多,团队年轻'<!sp>'设计能力,逻辑思维能力'<!sp>广州 - 越秀区 - 大新 - 中山三路33号中华国际中心A座16、17楼
微链welian.com技术部门<!sp>推荐算法工程师<!sp>16k-30k<!sp>杭州<!sp>经验5-10年<!sp>'后端开发,算法,数据挖掘,Java'<!sp>1天前<!sp>拉勾网<!sp>'前景广阔,公平晋升,周末双休,年终奖'<!sp>''<!sp>杭州 - 西湖区 - 翠苑 - 翠苑街道庆隆路
竞界科技软件研发部<!sp>大数据工程师-推荐系统方向<!sp>20k-40k<!sp>上海<!sp>经验3-5年<!sp>'hadoop,机器学习,深度学习,人工智能,建模,spark'<!sp>1天前<!sp>拉勾网<!sp>'提供住宿,年终奖,不加班,免费旅游'<!sp>'逻辑思维能力,专业素质良好,领悟能力,学习能力'<!sp>上海 - 普陀区 - 长寿路 - 陕西北路1283弄9号1803室
新东方教育行业研究院数据<!sp>推荐平台工程师<!sp>20k-35k<!sp>北京<!sp>经验不限<!sp>'hadoop,算法,推荐,大数据'<!sp>2天前<!sp>拉勾网<!sp>'K12风口,智能硬件,高速成长'<!sp>'设计能力,服务意识,逻辑思维能力,专业素质良好,学习能力,沟通表达能力'<!sp>北京 - 海淀区 - 中关村 - 海淀丹棱街甲一号互联网金融中心
航仕科技算法中心<!sp>推荐算法工程师/推荐算法专家<!sp>30k-50k<!sp>深圳<!sp>经验3-5年<!sp>'直播,算法,深度学习,推荐,NLP,人工智能'<!sp>13:48<!sp>拉勾网<!sp>'BAT大牛,保底18月,福利超好,加班少'<!sp>'学习能力,逻辑思维能力'<!sp>深圳 - 南山区 - 科技园 - 科技园
